char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
，	U+FF0C	A141	fullwidth	$01E2	base-exact	，	，	no	
、	U+3001	A142	punctuation	$0102	base-exact	、	、	no	
。	U+3002	A143	punctuation	$0103	base-exact	。	。	no	
．	U+FF0E	A144	fullwidth	$01E4	base-exact	．	．	no	
；	U+FF1B	A146	fullwidth	$01F1	base-exact	；	；	no	
：	U+FF1A	A147	fullwidth	$01F0	base-exact	：	：	no	
？	U+FF1F	A148	fullwidth	$01F5	base-exact	？	？	no	
！	U+FF01	A149	fullwidth	$01D7	base-exact	！	！	no	
…	U+2026	A14B	punctuation	$010D	base-exact	…	…	no	
·	U+00B7	A150	punctuation	$0104	base-exact	·	·	no	
｜	U+FF5C	A155	fullwidth	$023A	base-exact	｜	｜	no	
︱	U+FE31	A157	punctuation	$037E	base-exact	︱	︱	no	
—	U+2014	A158	punctuation	$010A	base-exact	—	—	no	
︳	U+FE33	A159	punctuation	$0380	base-exact	︳	︳	no	
︴	U+FE34	A15B	punctuation	$0381	base-exact	︴	︴	no	
（	U+FF08	A15D	fullwidth	$01DE	base-exact	（	（	no	
）	U+FF09	A15E	fullwidth	$01DF	base-exact	）	）	no	
︵	U+FE35	A15F	punctuation	$036C	base-exact	︵	︵	no	
︶	U+FE36	A160	punctuation	$036D	base-exact	︶	︶	no	
｛	U+FF5B	A161	fullwidth	$0239	base-exact	｛	｛	no	
｝	U+FF5D	A162	fullwidth	$023B	base-exact	｝	｝	no	
︷	U+FE37	A163	punctuation	$037C	base-exact	︷	︷	no	
︸	U+FE38	A164	punctuation	$037D	base-exact	︸	︸	no	
〔	U+3014	A165	punctuation	$0112	base-exact	〔	〔	no	
〕	U+3015	A166	punctuation	$0113	base-exact	〕	〕	no	
︹	U+FE39	A167	punctuation	$036E	base-exact	︹	︹	no	
︺	U+FE3A	A168	punctuation	$036F	base-exact	︺	︺	no	
【	U+3010	A169	punctuation	$0121	base-exact	【	【	no	
】	U+3011	A16A	punctuation	$0123	base-exact	】	】	no	
︻	U+FE3B	A16B	punctuation	$037A	base-exact	︻	︻	no	
︼	U+FE3C	A16C	punctuation	$037B	base-exact	︼	︼	no	
《	U+300A	A16D	punctuation	$0119	base-exact	《	《	no	
》	U+300B	A16E	punctuation	$011A	base-exact	》	》	no	
︽	U+FE3D	A16F	punctuation	$0372	base-exact	︽	︽	no	
︾	U+FE3E	A170	punctuation	$0373	base-exact	︾	︾	no	
〈	U+3008	A171	punctuation	$0117	base-exact	〈	〈	no	
〉	U+3009	A172	punctuation	$0118	base-exact	〉	〉	no	
︿	U+FE3F	A173	punctuation	$0370	base-exact	︿	︿	no	
﹀	U+FE40	A174	punctuation	$0371	base-exact	﹀	﹀	no	
「	U+300C	A175	punctuation	$011B	base-exact	「	「	no	
」	U+300D	A176	punctuation	$011C	base-exact	」	」	no	
﹁	U+FE41	A177	punctuation	$0374	base-exact	﹁	﹁	no	
﹂	U+FE42	A178	punctuation	$0375	base-exact	﹂	﹂	no	
『	U+300E	A179	punctuation	$011D	base-exact	『	『	no	
』	U+300F	A17A	punctuation	$011E	base-exact	』	』	no	
﹃	U+FE43	A17B	punctuation	$0376	base-exact	﹃	﹃	no	
﹄	U+FE44	A17C	punctuation	$0377	base-exact	﹄	﹄	no	
‘	U+2018	A1A5	punctuation	$010E	base-exact	‘	‘	no	
’	U+2019	A1A6	punctuation	$010F	base-exact	’	’	no	
“	U+201C	A1A7	punctuation	$0110	base-exact	“	“	no	
”	U+201D	A1A8	punctuation	$0111	base-exact	”	”	no	
＃	U+FF03	A1AD	fullwidth	$01D9	base-exact	＃	＃	no	
＆	U+FF06	A1AE	fullwidth	$01DC	base-exact	＆	＆	no	
＊	U+FF0A	A1AF	fullwidth	$01E0	base-exact	＊	＊	no	
※	U+203B	A1B0	punctuation	$0173	base-exact	※	※	no	
§	U+00A7	A1B1	punctuation	$0166	base-exact	§	§	no	
〃	U+3003	A1B2	punctuation	$0108	base-exact	〃	〃	no	
○	U+25CB	A1B3	symbol	$016A	base-exact	○	○	no	
●	U+25CF	A1B4	symbol	$016B	base-exact	●	●	no	
△	U+25B3	A1B5	symbol	$0171	base-exact	△	△	no	
◎	U+25CE	A1B7	symbol	$016C	base-exact	◎	◎	no	
☆	U+2606	A1B8	symbol	$0168	base-exact	☆	☆	no	
★	U+2605	A1B9	symbol	$0169	base-exact	★	★	no	
◇	U+25C7	A1BA	symbol	$016D	base-exact	◇	◇	no	
◆	U+25C6	A1BB	symbol	$016E	base-exact	◆	◆	no	
□	U+25A1	A1BC	symbol	$016F	base-exact	□	□	no	
■	U+25A0	A1BD	symbol	$0170	base-exact	■	■	no	
￣	U+FFE3	A1C3	fullwidth	$023C	base-exact	￣	￣	no	
＿	U+FF3F	A1C4	fullwidth	$021C	base-exact	＿	＿	no	
＋	U+FF0B	A1CF	fullwidth	$01E1	base-exact	＋	＋	no	
－	U+FF0D	A1D0	fullwidth	$01E3	base-exact	－	－	no	
÷	U+00F7	A1D2	symbol	$0126	base-exact	÷	÷	no	
±	U+00B1	A1D3	symbol	$0124	base-exact	±	±	no	
√	U+221A	A1D4	symbol	$0130	base-exact	√	√	no	
＜	U+FF1C	A1D5	fullwidth	$01F2	base-exact	＜	＜	no	
＞	U+FF1E	A1D6	fullwidth	$01F4	base-exact	＞	＞	no	
＝	U+FF1D	A1D7	fullwidth	$01F3	base-exact	＝	＝	no	
≠	U+2260	A1DA	symbol	$013D	base-exact	≠	≠	no	
∞	U+221E	A1DB	symbol	$0143	base-exact	∞	∞	no	
≡	U+2261	A1DD	symbol	$0138	base-exact	≡	≡	no	
∩	U+2229	A1E4	symbol	$012D	base-exact	∩	∩	no	
∪	U+222A	A1E5	symbol	$012C	base-exact	∪	∪	no	
⊥	U+22A5	A1E6	symbol	$0131	base-exact	⊥	⊥	no	
∠	U+2220	A1E7	symbol	$0133	base-exact	∠	∠	no	
∫	U+222B	A1EC	symbol	$0136	base-exact	∫	∫	no	
∮	U+222E	A1ED	symbol	$0137	base-exact	∮	∮	no	
∵	U+2235	A1EE	symbol	$0144	base-exact	∵	∵	no	
∴	U+2234	A1EF	symbol	$0145	base-exact	∴	∴	no	
↑	U+2191	A1F4	symbol	$0176	base-exact	↑	↑	no	
↓	U+2193	A1F5	symbol	$0177	base-exact	↓	↓	no	
←	U+2190	A1F6	symbol	$0175	base-exact	←	←	no	
→	U+2192	A1F7	symbol	$0174	base-exact	→	→	no	
∥	U+2225	A1FC	symbol	$0132	base-exact	∥	∥	no	
／	U+FF0F	A1FE	fullwidth	$01E5	base-exact	／	／	no	
＼	U+FF3C	A240	fullwidth	$0219	base-exact	＼	＼	no	
＄	U+FF04	A243	fullwidth	$0161	base-exact	＄	＄	no	
％	U+FF05	A248	fullwidth	$01DB	base-exact	％	％	no	
＠	U+FF20	A249	fullwidth	$01F6	base-exact	＠	＠	no	
℃	U+2103	A24A	symbol	$0160	base-exact	℃	℃	no	
°	U+00B0	A258	symbol	$0148	base-exact	°	°	no	
┼	U+253C	A271	symbol	$04A4	base-exact	┼	┼	no	
┴	U+2534	A272	symbol	$049C	base-exact	┴	┴	no	
┬	U+252C	A273	symbol	$0494	base-exact	┬	┬	no	
┤	U+2524	A274	symbol	$048C	base-exact	┤	┤	no	
├	U+251C	A275	symbol	$0484	base-exact	├	├	no	
０	U+FF10	A2AF	fullwidth	$01E6	base-exact	０	０	yes	
１	U+FF11	A2B0	fullwidth	$01E7	base-exact	１	１	yes	
２	U+FF12	A2B1	fullwidth	$01E8	base-exact	２	２	yes	
３	U+FF13	A2B2	fullwidth	$01E9	base-exact	３	３	yes	
４	U+FF14	A2B3	fullwidth	$01EA	base-exact	４	４	yes	
５	U+FF15	A2B4	fullwidth	$01EB	base-exact	５	５	yes	
６	U+FF16	A2B5	fullwidth	$01EC	base-exact	６	６	yes	
７	U+FF17	A2B6	fullwidth	$01ED	base-exact	７	７	yes	
８	U+FF18	A2B7	fullwidth	$01EE	base-exact	８	８	yes	
９	U+FF19	A2B8	fullwidth	$01EF	base-exact	９	９	yes	
Ⅰ	U+2160	A2B9	number	$01C9	base-exact	Ⅰ	Ⅰ	no	
Ⅱ	U+2161	A2BA	number	$01CA	base-exact	Ⅱ	Ⅱ	no	
Ⅲ	U+2162	A2BB	number	$01CB	base-exact	Ⅲ	Ⅲ	no	
Ⅳ	U+2163	A2BC	number	$01CC	base-exact	Ⅳ	Ⅳ	no	
Ⅴ	U+2164	A2BD	number	$01CD	base-exact	Ⅴ	Ⅴ	no	
Ⅵ	U+2165	A2BE	number	$01CE	base-exact	Ⅵ	Ⅵ	no	
Ⅶ	U+2166	A2BF	number	$01CF	base-exact	Ⅶ	Ⅶ	no	
Ⅷ	U+2167	A2C0	number	$01D0	base-exact	Ⅷ	Ⅷ	no	
Ⅸ	U+2168	A2C1	number	$01D1	base-exact	Ⅸ	Ⅸ	no	
Ⅹ	U+2169	A2C2	number	$01D2	base-exact	Ⅹ	Ⅹ	no	
十	U+5341	A2CC	cjk	$0FA6	base-exact	十	十	yes	
卅	U+5345	A2CE	cjk	$1976	base-exact	卅	卅	yes	
Ａ	U+FF21	A2CF	fullwidth	$01F7	base-exact	Ａ	Ａ	no	
Ｂ	U+FF22	A2D0	fullwidth	$01F8	base-exact	Ｂ	Ｂ	no	
Ｃ	U+FF23	A2D1	fullwidth	$01F9	base-exact	Ｃ	Ｃ	no	
Ｄ	U+FF24	A2D2	fullwidth	$01FA	base-exact	Ｄ	Ｄ	no	
Ｅ	U+FF25	A2D3	fullwidth	$01FB	base-exact	Ｅ	Ｅ	no	
Ｆ	U+FF26	A2D4	fullwidth	$01FC	base-exact	Ｆ	Ｆ	no	
Ｇ	U+FF27	A2D5	fullwidth	$0201	base-exact	Ｇ	Ｇ	no	
Ｈ	U+FF28	A2D6	fullwidth	$0202	base-exact	Ｈ	Ｈ	no	
Ｉ	U+FF29	A2D7	fullwidth	$0203	base-exact	Ｉ	Ｉ	no	
Ｊ	U+FF2A	A2D8	fullwidth	$0204	base-exact	Ｊ	Ｊ	no	
Ｋ	U+FF2B	A2D9	fullwidth	$0205	base-exact	Ｋ	Ｋ	no	
Ｌ	U+FF2C	A2DA	fullwidth	$0206	base-exact	Ｌ	Ｌ	no	
Ｍ	U+FF2D	A2DB	fullwidth	$0207	base-exact	Ｍ	Ｍ	no	
Ｎ	U+FF2E	A2DC	fullwidth	$0208	base-exact	Ｎ	Ｎ	no	
Ｏ	U+FF2F	A2DD	fullwidth	$0209	base-exact	Ｏ	Ｏ	no	
Ｐ	U+FF30	A2DE	fullwidth	$020A	base-exact	Ｐ	Ｐ	no	
Ｑ	U+FF31	A2DF	fullwidth	$020B	base-exact	Ｑ	Ｑ	no	
Ｒ	U+FF32	A2E0	fullwidth	$020C	base-exact	Ｒ	Ｒ	no	
Ｓ	U+FF33	A2E1	fullwidth	$020D	base-exact	Ｓ	Ｓ	no	
Ｔ	U+FF34	A2E2	fullwidth	$020E	base-exact	Ｔ	Ｔ	no	
Ｕ	U+FF35	A2E3	fullwidth	$020F	base-exact	Ｕ	Ｕ	no	
Ｖ	U+FF36	A2E4	fullwidth	$0210	base-exact	Ｖ	Ｖ	no	
Ｗ	U+FF37	A2E5	fullwidth	$0211	base-exact	Ｗ	Ｗ	no	
Ｘ	U+FF38	A2E6	fullwidth	$0212	base-exact	Ｘ	Ｘ	no	
Ｙ	U+FF39	A2E7	fullwidth	$0213	base-exact	Ｙ	Ｙ	no	
Ｚ	U+FF3A	A2E8	fullwidth	$0217	base-exact	Ｚ	Ｚ	no	
ａ	U+FF41	A2E9	fullwidth	$021E	base-exact	ａ	ａ	no	
ｂ	U+FF42	A2EA	fullwidth	$021F	base-exact	ｂ	ｂ	no	
ｃ	U+FF43	A2EB	fullwidth	$0220	base-exact	ｃ	ｃ	no	
ｄ	U+FF44	A2EC	fullwidth	$0221	base-exact	ｄ	ｄ	no	
ｅ	U+FF45	A2ED	fullwidth	$0223	base-exact	ｅ	ｅ	no	
ｆ	U+FF46	A2EE	fullwidth	$0224	base-exact	ｆ	ｆ	no	
ｇ	U+FF47	A2EF	fullwidth	$0225	base-exact	ｇ	ｇ	no	
ｈ	U+FF48	A2F0	fullwidth	$0226	base-exact	ｈ	ｈ	no	
ｉ	U+FF49	A2F1	fullwidth	$0227	base-exact	ｉ	ｉ	no	
ｊ	U+FF4A	A2F2	fullwidth	$0228	base-exact	ｊ	ｊ	no	
ｋ	U+FF4B	A2F3	fullwidth	$0229	base-exact	ｋ	ｋ	no	
ｌ	U+FF4C	A2F4	fullwidth	$022A	base-exact	ｌ	ｌ	no	
ｍ	U+FF4D	A2F5	fullwidth	$022B	base-exact	ｍ	ｍ	no	
ｎ	U+FF4E	A2F6	fullwidth	$022C	base-exact	ｎ	ｎ	no	
ｏ	U+FF4F	A2F7	fullwidth	$022D	base-exact	ｏ	ｏ	no	
ｐ	U+FF50	A2F8	fullwidth	$022E	base-exact	ｐ	ｐ	no	
ｑ	U+FF51	A2F9	fullwidth	$022F	base-exact	ｑ	ｑ	no	
ｒ	U+FF52	A2FA	fullwidth	$0230	base-exact	ｒ	ｒ	no	
ｓ	U+FF53	A2FB	fullwidth	$0231	base-exact	ｓ	ｓ	no	
ｔ	U+FF54	A2FC	fullwidth	$0232	base-exact	ｔ	ｔ	no	
ｕ	U+FF55	A2FD	fullwidth	$0233	base-exact	ｕ	ｕ	no	
ｖ	U+FF56	A2FE	fullwidth	$0234	base-exact	ｖ	ｖ	no	
ｗ	U+FF57	A340	fullwidth	$0235	base-exact	ｗ	ｗ	no	
ｘ	U+FF58	A341	fullwidth	$0236	base-exact	ｘ	ｘ	no	
ｙ	U+FF59	A342	fullwidth	$0237	base-exact	ｙ	ｙ	no	
ｚ	U+FF5A	A343	fullwidth	$0238	base-exact	ｚ	ｚ	no	
Α	U+0391	A344	Lu	$0313	base-exact	Α	Α	no	
Β	U+0392	A345	Lu	$0317	base-exact	Β	Β	no	
Γ	U+0393	A346	Lu	$0318	base-exact	Γ	Γ	no	
Δ	U+0394	A347	Lu	$0319	base-exact	Δ	Δ	no	
Ε	U+0395	A348	Lu	$031A	base-exact	Ε	Ε	no	
Ζ	U+0396	A349	Lu	$031B	base-exact	Ζ	Ζ	no	
