ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
0	兙	U+5159	A259	cjk	兙	$1401	$14	$01	extension-page	cjk-extension	new/expanded DFS page
1	兛	U+515B	A25A	cjk	兛	$1402	$14	$02	extension-page	cjk-extension	new/expanded DFS page
2	兞	U+515E	A25B	cjk	兞	$1403	$14	$03	extension-page	cjk-extension	new/expanded DFS page
3	兝	U+515D	A25C	cjk	兝	$1404	$14	$04	extension-page	cjk-extension	new/expanded DFS page
4	兡	U+5161	A25D	cjk	兡	$1405	$14	$05	extension-page	cjk-extension	new/expanded DFS page
5	兣	U+5163	A25E	cjk	兣	$1406	$14	$06	extension-page	cjk-extension	new/expanded DFS page
6	嗧	U+55E7	A25F	cjk	嗧	$1407	$14	$07	extension-page	cjk-extension	new/expanded DFS page
7	瓩	U+74E9	A260	cjk	瓩	$1408	$14	$08	extension-page	cjk-extension	new/expanded DFS page
8	糎	U+7CCE	A261	cjk	糎	$1409	$14	$09	extension-page	cjk-extension	new/expanded DFS page
9	卄	U+5344	A2CD	cjk	卄	$140A	$14	$0A	extension-page	cjk-extension	new/expanded DFS page
10	弔	U+5F14	A4DD	cjk	吊	$140B	$14	$0B	extension-page	cjk-extension	new/expanded DFS page
11	氾	U+6C3E	A5C6	cjk	泛	$140C	$14	$0C	extension-page	cjk-extension	new/expanded DFS page
12	伕	U+4F15	A5ED	cjk	伕	$140D	$14	$0D	extension-page	cjk-extension	new/expanded DFS page
13	伋	U+4F0B	A5F9	cjk	伋	$140E	$14	$0E	extension-page	cjk-extension	new/expanded DFS page
14	兇	U+5147	A5FB	cjk	凶	$140F	$14	$0F	extension-page	cjk-extension	new/expanded DFS page
15	吋	U+540B	A654	cjk	吋	$1410	$14	$10	extension-page	cjk-extension	new/expanded DFS page
16	汙	U+6C59	A6BE	cjk	污	$1411	$14	$11	extension-page	cjk-extension	new/expanded DFS page
17	汍	U+6C4D	A6C5	cjk	汍	$1412	$14	$12	extension-page	cjk-extension	new/expanded DFS page
18	汎	U+6C4E	A6C6	cjk	泛	$1413	$14	$13	extension-page	cjk-extension	new/expanded DFS page
19	佔	U+4F54	A6FB	cjk	占	$1417	$14	$17	extension-page	cjk-extension	new/expanded DFS page
20	佈	U+4F48	A747	cjk	布	$1418	$14	$18	extension-page	cjk-extension	new/expanded DFS page
21	呎	U+544E	A760	cjk	呎	$1419	$14	$19	extension-page	cjk-extension	new/expanded DFS page
22	抆	U+6286	A7EE	cjk	抆	$141A	$14	$1A	extension-page	cjk-extension	new/expanded DFS page
23	杗	U+6757	A841	cjk	杗	$141B	$14	$1B	extension-page	cjk-extension	new/expanded DFS page
24	沍	U+6C8D	A85B	cjk	沍	$141C	$14	$1C	extension-page	cjk-extension	new/expanded DFS page
25	沘	U+6C98	A85D	cjk	沘	$141D	$14	$1D	extension-page	cjk-extension	new/expanded DFS page
26	牠	U+7260	A865	cjk	牠	$141E	$14	$1E	extension-page	cjk-extension	new/expanded DFS page
27	迆	U+8FC6	A8B2	cjk	迆	$141F	$14	$1F	extension-page	cjk-extension	new/expanded DFS page
28	釆	U+91C6	A8BC	cjk	釆	$1420	$14	$20	extension-page	cjk-extension	new/expanded DFS page
29	阬	U+962C	A8C2	cjk	阬	$1421	$14	$21	extension-page	cjk-extension	new/expanded DFS page
30	並	U+4E26	A8C3	cjk	并	$1423	$14	$23	extension-page	cjk-extension	new/expanded DFS page
31	併	U+4F75	A8D6	cjk	并	$1424	$14	$24	extension-page	cjk-extension	new/expanded DFS page
32	佺	U+4F7A	A8DE	cjk	佺	$1425	$14	$25	extension-page	cjk-extension	new/expanded DFS page
33	兒	U+5152	A8E0	cjk	儿	$1426	$14	$26	extension-page	cjk-extension	new/expanded DFS page
34	劻	U+52BB	A8F1	cjk	劻	$1427	$14	$27	extension-page	cjk-extension	new/expanded DFS page
35	卹	U+5379	A8F9	cjk	恤	$1428	$14	$28	extension-page	cjk-extension	new/expanded DFS page
