dfs_code	char	big5	old_class	new_class	old_extension_needed	new_extension_needed	reason
$04D7	闇	EEEE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 暗
$04DB	骯	BBEA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 肮
$04FC	襬	C4FC	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 擺
$050B	闆	C1F3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 板
$0535	盃	ACD7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 杯
$0577	闢	C550	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 辟
$058B	錶	BFF6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 表
$058E	彆	B9FB	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 別
$059E	並	A8C3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 并
$059E	併	A8D6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 并
$05B3	蔔	BDB3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 卜
$05B8	佈	A747	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 布
$05C1	纔	C5D7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 才
$05C5	採	B1C4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 采
$05C5	埰	D4CA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 采
$05C5	寀	D4F2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 采
$05C6	綵	BAF9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 彩
$05CA	蔘	E778	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 參
