text/MtMoon1F.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_MtMoon1BattleText2::				_MtMoon1BattleText2::										
	text	WHOA! You shocked			text	哇啊！		text	哇啊！	WHOA! You shocked	Whoa!	哇啊！	うわーッ！	うわーッ!
	line	me! Oh, you're			line	嚇死我了！		line	吓死我了！	me! Oh, you're	You surprised me!	吓死我了！	びっくり　した！	びっくり　した!
	cont	just a kid!			cont	……什麼嘛，是個孩子啊。		cont	……什么嘛，是个孩子啊。	just a kid!				…　なんだ　こどもか
	done				done			done			...Oh, you’re just a kid?	……什么嘛，是个孩子啊。	……なんだ　こどもか	
														
_MtMoon1EndBattleText2::				_MtMoon1EndBattleText2::										
	text	Wow!			text	哇哦！		text	哇哦！	Wow!	Wow!	好厉害啊！	すごいなあ！	すごいなあ!
	line	Shocked again!			line	真是讓我大吃一驚！		line	真是让我大吃一惊！	Shocked again!		听说是你赶走了	ロケットだんの　れんちゅうを	ロケットだんの　れんちゅうを
	prompt				prompt			prompt			You chased off Team Rocket?			おっぱらったんだって?
												火箭队那群人吗？	おっぱらったんだって？	ゲ4きらひ
_MtMoon1AfterBattleText2::				_MtMoon1AfterBattleText2::										
	text	Kids like you			text	像你這樣的孩子可不能來		text	像你这样的孩子可不能来	Kids like you	Kids like you shouldn’t be wandering around	像你这样的孩子可不能来	こどもが	こどもが
	line	shouldn't be			line	這麼黑的地方亂晃。		line	这么黑的地方瞎转悠。	shouldn't be	here in the dark.	这么黑的地方瞎转悠。	こんな　くらい　ところを	こんな　くらい　ところを
	cont	here!			done			done		here!				ウロウロ　しちゃ　いかん　なあ
	done												ウロウロ　しちゃ　いかん　なあ	
														
_MtMoon1BattleText3::				_MtMoon1BattleText3::										
	text	Did you come to			text	你也是來探索洞穴的嗎？		text	你也是来探索洞穴的吗？	Did you come to	Did you come to explore the cave, too?	你也是来探索洞穴的吗？	きみも	きみも
	line	explore too?			done			done		explore too?			どうくつ　たんけんに　きたのかい	どうくつ　たんけんに　きたのかい
	done													
														
_MtMoon1EndBattleText3::				_MtMoon1EndBattleText3::										
	text	Losing			text	……在對戰中		text	……在对战中	Losing	Losing stinks!	……在对战中输了，	……まける　なんて	…　まける　なんて
	line	stinks!			line	輸了，真是好遜啊。		line	输了，真是好逊啊。	stinks!	It’s so uncool.	真是好逊啊。	カッコ　わるい	カッコ　わるい
	prompt				prompt			prompt						
														
_MtMoon1AfterBattleText3::				_MtMoon1AfterBattleText3::										
	text	I came down here			text	為了能在女孩子面前		text	为了能在女孩子面前	I came down here	I came all the way down here to show the girls	为了能在女孩子面前炫耀一把，	おんなのこに	おんなのこに
	line	to show off to			line	炫耀一把，		line	炫耀一把，	to show off to	how tough I am!	所以我才来到了这种地方。	イイ　とこ　みせようと	イイ　とこ　みせようと
	cont	girls.			cont	所以我才來到了這種地方。		cont	所以我才来到了这种地方。	girls.				こんな　とこ　まで　きちゃった
	done				done			done					こんな　とこ　まで　きちゃった	
														
_MtMoon1BattleText4::				_MtMoon1BattleText4::										
	text	Wow! It's way			text	哇啊！		text	哇啊！	Wow! It's way	Wow! It’s way bigger in here than I thought!	哇啊！	わあーッ！	わあーッ!
	line	bigger in here			line	沒想到洞穴裡		line	没想到洞穴里	bigger in here		没想到洞穴里	どうくつの　なかって	どうくつの　なかって
	cont	than I thought!			cont	竟然會這麼大呢！		cont	竟然会这么大呢！	than I thought!				いがいと　ひろいのねー!
	done				done			done				竟然会这么大呢！	いがいと　ひろいのねー！	
														
_MtMoon1EndBattleText4::				_MtMoon1EndBattleText4::										
	text	Oh!			text	啊……我輸了！		text	啊……我输了！	Oh!	Oh!	哇！	わ！	
	line	I lost it!			prompt			prompt		I lost it!	It suddenly snuggled up to you!	它突然靠了过来！	きゅうに　すりよってきた！	わ。
	prompt													ちノゼそ
											Will you pet its head?	要摸摸它的头吗？	あたまを　なでて　あげますか？	
_MtMoon1AfterBattleText4::				_MtMoon1AfterBattleText4::										
	text	How do you get			text	出口在哪裡呢？		text	出口在哪里呢？	How do you get	How do you get out of here?	出口在哪里呢？	こんなに　ひろいと	こんなに　ひろいと
	line	out of here?			line	這裡這麼大，		line	这里这么大，	out of here?	It’s so big, I may get lost.	这里这么大，我都要迷路了。	どっちが　でぐちか　まよっちゃう	どっちが　でぐちか　まよっちゃう
	done				cont	我都要迷路了。		cont	我都要迷路了。					
					done			done						
_MtMoon1BattleText5::				_MtMoon1BattleText5::										
	text	What! Don't sneak			text	嗚哇！搞什麼啊？		text	呜哇！搞什么啊？	What! Don't sneak	What!	呜哇！搞什么啊？	うわッ！　なんだ？	うわッ!　なんだ?
	line	up on me!			line	別突然和我說話！		line	别突然和我说话！	up on me!	Don’t sneak up on me!	别突然和我说话！	きゅうに　こえを　かけるな！	きゅうに　こえを　かけるな!
	done				done			done						
														
_MtMoon1EndBattleText5::				_MtMoon1EndBattleText5::										
	text	My			text	……用這種寶可夢		text	……用这种宝可梦	My	My Pokémon won’t do!	……用这种宝可梦打不赢你么。	……こんな　ポケモン　では　ダメか	…
