text/SSAnneKitchen.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_SSAnne6Text1::				_SSAnne6Text1::										
	text	You, mon petit!			text	我說！你站在那裡		text	我说！你站在那里	You, mon petit!	You there, m[VAR GENDBR(00FF,0808)]on petita petite!	我说！	ほら！	ほら!
	line	We're busy here!			line	很礙事啊有沒有！		line	很碍事啊有没有！	We're busy here!	We’re busy here!	你站在那里很碍事啊有没有！	そこの　きみ　じゃまだよ！	そこの　きみ　じゃまだよ!
	cont	Out of the way!			cont	讓開讓開！		cont	让开让开！	Out of the way!				どいた　どいた!
	done				done			done			Out of the way! Shoo! Shoo!	让开让开！	どいた　どいた！	
														
_SSAnne6Text2::				_SSAnne6Text2::										
	text	I saw an odd ball			text	垃圾箱裡有一個奇怪的球。		text	垃圾箱里有一个奇怪的球。	I saw an odd ball	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	in the trash.			line	那會是什麼呢？		line	那会是什么呢？	in the trash.	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	done				done			done						…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_SSAnne6Text3::				_SSAnne6Text3::										
	text	I'm so busy I'm			text	忙得我兩眼冒金星！		text	忙得我两眼冒金星！	I'm so busy I'm	I’m so busy, I’m getting dizzy!	忙得我两眼冒金星！	いそがしくって　めが　まわる！	いそがしくって　めが　まわる!
	line	getting dizzy!			line	拜託你到別處去玩吧！		line	拜托你到别处去玩吧！	getting dizzy!	You have to give me room here!	拜托你到别处去玩吧！	たのむ　から　あっち　いってくれ！	たのむ　から　あっち　いってくれ!
	done				done			done						
														
_SSAnne6Text4::				_SSAnne6Text4::										
	text	Hum-de-hum-de-			text	我削我削……		text	我削我削……	Hum-de-hum-de-	Hum-de-hum-de-ho...	我削我削……	せっせ　せっせ……	せっせ　せっせ…
	line	ho...			para	我每天要做的工作，		para	我每天要做的工作，	ho...				おれは　まいにち
					line	就是削土豆皮！		line	就是削土豆皮！	I peel spuds	I peel spuds every day!	我每天要做的工作，	おれは　まいにち	イモの　かわむきだ!
