text/SSAnneB1FRooms.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_SSAnne10Text8::				_SSAnne10Text8::										
	text	MACHOKE: Gwoh!			text	豪力：豪～豪豪豪～@		text	豪力：豪～豪豪豪～@	MACHOKE: Gwoh!	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	Goggoh!@			text_end			text_end		Goggoh!@	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	text_end													
														
_SSAnne10BattleText1::				_SSAnne10BattleText1::										
	text	You know what they			text	對於水手來說，		text	对于水手来说，	You know what they	You know what they say about sailors.	对于水手来说，	ふなのりに	ふなのりに
	line	say about sailors			line	打架簡直就是家常便飯！		line	打架简直就是家常便饭！	say about sailors	We’re all itching for a fight after ages at sea!	打架简直就是家常便饭！	ケンカは　つきものだ　やるか！	ケンカは　つきものだ　やるか!
	cont	and fighting!			cont	動手吧！		cont	动手吧！	and fighting!				
	done				done			done				动手吧！		
														
_SSAnne10EndBattleText1::				_SSAnne10EndBattleText1::										
	text	Right!			text	好！		text	好！	Right!	Right!	好！	おし！	おし!
	line	Good fight, mate!			line	真是一場不錯的對戰。		line	真是一场不错的对战。	Good fight, mate!	Good battle, mate!	真是一场不错的对战。	いい　しょうぶ　だった	いい　しょうぶ　だった
	prompt				prompt			prompt						
														
_SSAnne10AfterBattleText1::				_SSAnne10AfterBattleText1::										
	text	Haha! Want to be			text	哈哈哈！		text	哈哈哈！	Haha! Want to be	Hahaha!	哈哈哈！	ははは！	ははは!
	line	a sailor, mate?			line	你要不要也來當水手啊？		line	你要不要也来当水手啊？	a sailor, mate?	Want to be a sailor, mate?	你要不要也来当水手啊？	おまえも　ふなのりに　ならんか？	ぼうずも　ふなのりに　ならんか?
	done				done			done						
														
_SSAnne10BattleText2::				_SSAnne10BattleText2::										
