text/SilphCo7F.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_MeetLaprasGuyText::				_MeetLaprasGuyText::										
	text	Oh! Hi! You're			text	完了……有人來了！		text	完了……有人来了！	Oh! Hi! You're	Oh! Hi! You’re not a Rocket!	完了……有人来了！	あ……　ひとだ！	あ…　ひとだ!
	line	not a ROCKET! You			line	哦，你不是火箭隊的人啊！		line	哦，你不是火箭队的人啊！	not a ROCKET! You	You came to save us?	哦，你不是火箭队的人啊！	ロケットだん　じゃ　ないね	ロケットだん　じゃ　ないね
	cont	came to save us?			cont	你……是來救我的嗎？		cont	你……是来救我的吗？	came to save us?				きみ…
	cont	Why, thank you!			cont	天啊！真的太感謝你了！		cont	天啊！真的太感谢你了！	Why, thank you!	Why, thank you!	你……是来救我的吗？	きみ……	たすけに　きてくれたのか!
					para	這樣吧！		para	这样吧！	I want you to			たすけに　きてくれたのか！	おお　ありがとう!
	para	I want you to			line	為了報答你來救我，就把		line	为了报答你来救我，就把	have this #MON	I want you to have this Pokémon	天啊！真的太感谢你了！	おお　ありがとう！	そうだ!
	line	have this #MON			cont	這隻寶可夢送給你好了！		cont	这只宝可梦送给你好了！	for saving us.	for saving us.			たすけに　きて　くれた　きみに
	cont	for saving us.			prompt			prompt				这样吧！	そうだ！	この　ポケモンを　わたそう!
	prompt											为了报答你来救我，	たすけに　きて　くれた　きみに	
														
_HeresYourLaprasText::				_HeresYourLaprasText::								就把这只宝可梦送给你好了！	この　ポケモンを　わたそう！	
	text	It's LAPRAS. It's			text	它叫拉普拉斯，是一種		text	它叫拉普拉斯，是一种	It's LAPRAS. It's	It’s a Lapras.	它叫拉普拉斯，	こいつは　ラプラスと　いって	こいつは　ラプラスと　いって
	line	very intelligent.			line	頭腦非常聰明的寶可夢！		line	头脑非常聪明的宝可梦！	very intelligent.	It’s a very intelligent Pokémon.	是一种头脑非常聪明的宝可梦！	とても　あたまのいい　ポケモンだ！	とても　あたまのいい　ポケモンだ!
					para	我本來是在西爾佛的		para	我本来是在西尔佛的	We kept it in our				シルフの　けんきゅうしつで
	para	We kept it in our			line	研究室裡養育它的……		line	研究室里养育它的……	lab, but it will	We kept it in our lab, but it will	我本来是在	シルフの　けんきゅうしつで	かっていたが…
	line	lab, but it will			cont	與其讓它待在這裡，		cont	与其让它待在这里，	be much better	be much better off with you.	西尔佛的研究室里养育它的……	かっていたが……	ここに　いる　よりは
	cont	be much better			cont	不如就把它交給你吧！		cont	不如就把它交给你吧！	off with you!				ずっと　いい　はずだ!
	cont	off with you!			para	我覺得你一定會		para	我觉得你一定会	I think you will	I think you will be a good Trainer	与其让它待在这里，	ここに　いる　よりは	きみなら　かわいがって　くれそうだし
					line	細心照料拉普拉斯，		line	细心照料拉普拉斯，	be a good trainer	for Lapras!			ラプラスも　よろこぶ　だろう!
	para	I think you will			cont	它也會很高興的吧！		cont	它也会很高兴的吧！	for LAPRAS!		不如就把它交给你吧！	ずっと　いい　はずだ！	およぎが　とくい　だから
	line	be a good trainer			para	這傢伙游泳可厲害了！		para	这家伙游泳可厉害了！	It's a good	It loves to swim, so take good care of it, OK?			うえに　のって
	cont	for LAPRAS!			line	就算是渡過大海，		line	就算是渡过大海，	swimmer. It'll		我觉得你一定会细心照料拉普拉斯，	きみなら　かわいがって　くれそうだし	うみを　すすんでも　いいぞ!
					cont	對它來說也是輕而易舉呢！		cont	对它来说也是轻而易举呢！	give you a lift!		它也会很高兴的吧！	ラプラスも　よろこぶ　だろう！	
	para	It's a good			done			done						
	line	swimmer. It'll										这只最喜欢游泳的家伙	およぎが　だいすきな　こいつを	
	cont	give you a lift!										就拜托你了！	よろしく　たのむよ！	
	done													
														
_LaprasGuyText::				_LaprasGuyText::										
	text	TEAM ROCKET's			text	剛才看到火箭隊的老大		text	刚才看到火箭队的老大	TEAM ROCKET's	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	BOSS went to the			line	進入社長室了！		line	进入社长室了！	BOSS went to the	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	cont	boardroom! Is our			cont	……社長他沒事吧？		cont	……社长他没事吧？	boardroom! Is our				…　シルフ　カンパニー
	cont	PRESIDENT OK?			done			done		PRESIDENT OK?		……西尔佛公司	……シルフカンパニー	
	done													
														
_LaprasGuySavedText::				_LaprasGuySavedText::										
	text	Saved at last!			text	終於得救了……		text	终于得救了……	Saved at last!	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
	line	Thank you!			line	謝謝你！		line	谢谢你！	Thank you!	Come on!	你有宝可梦的吧？	きみは　ポケモン　もってるな？	きみは　ポケモン　もってるな?
	done				done			done						しょうぶ　しようぜ!
											Let’s battle ’em!	我们来对战！	しょうぶ　しようぜ！	
_SilphCo7Text_51e00::				_SilphCo7Text_51e00::										
	text	TEAM ROCKET was			text	我猜火箭隊是盯上了		text	我猜火箭队是盯上了	TEAM ROCKET was	The best Poké Ball with the ultimate level of	必定能捉到野生宝可梦的，	やせいの　ポケモンを　かならず	ポケモンを　もちきれません!
	line	after the MASTER			line	能捉到任何寶可夢的		line	能捉到任何宝可梦的	after the MASTER	performance. With it, you will catch any wild	性能最好的球。	つかまえることが　できる	ボックスも　いっぱいで
	cont	BALL which will			cont	大師球！		cont	大师球！	BALL which will	Pokémon without fail.		さいこう　せいのうの　ボール。	てんそうできません!
