text/SafariZoneSecretHouse.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_SecretHouseText_4a350::				_SecretHouseText_4a350::										
	text	Ah! Finally!			text	哦！居然有人來了！		text	哦！居然有人来了！	Ah! Finally!	ERIKA: Oh, if it isn’t the one who’s been trying	莉佳：我记得你应该是	エリカ『たしか　ずかんを	 {next} 
					para	這裡正是位於狩獵地帶		para	这里正是位于狩猎地带	You're the first	to fill the Pokédex.	在收集图鉴的那位训练家吧。	つくって　いらした　かたね	@
	para	You're the first			line	最深處的財寶小屋！		line	最深处的财宝小屋！	person to reach				 {PLAYER}  {RIVAL} ポケモン
	line	person to reach			para	說是說狩獵地帶		para	说是说狩猎地带	the SECRET HOUSE!	I do hope things have been going well for you	不知道	あれからは　いかが	…
	cont	the SECRET HOUSE!			line	正在開展特別活動，		line	正在开展特别活动，	I was getting	since our last encounter.	那之后你过得如何？	おすごし　でしたの？	
					cont	可是根本沒人過來，		cont	可是根本没人过来，	worried that no				 {TARGET}  {USER}  {5B}  {5C} トレーナーロケットだん
	para	I was getting			cont	我還挺擔心的來著。		cont	我还挺担心的来着。	one would win our	...I see.	……是这样啊。	……まあ　そうなの	
	line	worried that no			para	好的！恭喜你！		para	好的！恭喜你！	campaign prize.	You certainly have been busy.	看来你发挥了你的实力。	ごかつやく　されてる　のね	
	cont	one would win our			line	獎品是你的了！		line	奖品是你的了！	Congratulations!				
	cont	campaign prize.			prompt			prompt		You have won!	I’m not particularly fond of those kinds of	我平时不太关心	わたくし　せけんの　ことには	
														
	para	Congratulations!									public things...	世界上都发生了什么……	あまり　きょうみが　なくて……	
	line	You have won!												
	prompt										However, battles are different.	不过对战就另当别论了。	でも　しあいは　べつ　ですわ	
											That’s what you came for, isn’t it?	你一定也是为了对战而来吧？	そのために　いらしたの　でしょう？	
_ReceivedHM03Text::				_ReceivedHM03Text::										
	text	<PLAYER> received			text	<PLAYER>從管理員		text	<PLAYER>从谜之训练家	<PLAYER> received	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	@			line	那裡得到了@		line	那里得到了@	a @	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer				
	text	!@			text	！@		text	！@	!@				
	text_end				text_end			text_end						
														
_HM03ExplanationText::				_HM03ExplanationText::										
	text	HM03 is SURF!			text	秘傳學習器０３		text	秘传学习器０３	HM03 is SURF!	Strong Pokémon from other Trainers will listen	训练家的手中	バッジを　もってる	…　…　と　おもった　けど
					line	是“衝浪”！		line	是“冲浪”！	#MON will be	to you if you have enough Badges!	持有的徽章数越多，	かずが　おおい　ほど	にもつが　いっぱい　だから
	para	#MON will be			para	有了它，你猜怎麼著！		para	有了它，你猜怎么着！	able to ferry you				@
	line	able to ferry you			line	居然可以乘著寶可夢		line	居然可以乘着宝可梦	across water!	The level limit increases by 10 levels for each	即使是从别人手中得到的	ひとから　もらった　ポケモンが	
	cont	across water!			cont	在水上前進！		cont	在水上前进！	And, this HM isn't	Badge you have.	等级高的宝可梦也会变得听话。	つよくても　いうことを　ききます	
					para	而且，這可是秘傳學習器，		para	而且，这可是秘传学习器，	disposable! You				
	para	And, this HM isn't			line	不管使用多少次		line	不管使用多少次	can use it over	If you have one Badge, Pokémon up to Lv. 20	持有１个徽章时上限为等级20，	１つ　もってると　レベル２０まで	
	line	disposable! You			cont	它都不會消失！		cont	它都不会消失！	and over!	will listen to you...if you have two Badges,	持有２个徽章时上限为等级30，	２つ　もってると　レベル３０まで　と	
	cont	can use it over			para	能獲得這麼棒的獎品，		para	能获得这么棒的奖品，	You're super lucky				
	cont	and over!			line	你真是太走運了！		line	你真是太走运了！	for winning this	Pokémon up to Lv. 30 will listen to you...	就像这样以10个等级为单位增加。	１０ずつ　レベルが　ふえていきます	
					done			done		fabulous prize!				
	para	You're super lucky									and so on.	如果持有全部徽章，	ぜんぶの　バッジが　あれば　すべての	
	line	for winning this										所有的宝可梦都会乖乖听话哦。	ポケモンが　いうことを　ききます	
	cont	fabulous prize!									Once you have all the Badges, Pokémon of any			
	done										level will give you their full attention!			
														
_HM03NoRoomText::				_HM03NoRoomText::										
	text	You don't have			text	你的持有物滿了喲。		text	你的持有物满了哟。	You don't have	You don’t have enough dough.	你啊……	アナタさま……　さきだつ　ものが	…　おとくな　けいじばん!
	line	room for this			done			done		room for this		最最重要的东西好像不太够噢？	たりませんよ？	ひとの　ポケモンは　ひとの　もの!
	cont	fabulous prize!								fabulous prize!	...Dough means money, kid.			やせいの　ポケモンに　だけ
	done											最最重要的东西……	さきだつ　もの　とは	モンスターボールを　なげて
end				end								当然就是指钱咯！	……おかねの　こと　です	つかまえよう!
														
