text/ChampionsRoom.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_GaryChampionIntroText::				_GaryChampionIntroText::										
	text	<RIVAL>: Hey!			text	<RIVAL>：嘿！		text	<RIVAL>：哟！	<RIVAL>: Hey!	“This report reached us from a reader wishing	接下来要介绍的是一位	ペンネーム	 {5B} を　みると
					para	你也來了啊，		para	你也来了啊，	I was looking	to remain anonymous. They had this to say:	不愿透露姓名的读者带来的故事：	とくめいきぼう　さん　より	なんと　でんしメールが　きていた!
	para	I was looking			line	<PLAYER>！		line	<PLAYER>！	forward to seeing				…　…　…
	line	forward to seeing			cont	……哈哈，很好啊！		cont	……哈哈，很好啊！	you, <PLAYER>!	‘It happened when I went to the Pokémon Tower.	“这是我去宝可梦塔时	『わたしが　ポケモンタワーに	ポケモンを　つよく　そだてて
	cont	you, <PLAYER>!			para	畢竟是我的勁敵，		para	毕竟是我的劲敌，	My rival should		发生的一件事。	いった　ときの　こと　です	たたかう　ポケモン　トレーナー!
					line	你要是太菜的話，		line	你要是太菜的话，	be strong to keep	I’d been visiting a grave there, and when I went			ここに　さいきょうの
	para	My rival should			cont	我也很沒面子啊！		cont	我也很没面子啊！	me sharp!		那天我去塔里扫完墓，	おはかまいりを　おえて	トレーナーが　あつまり　ました
	line	be strong to keep			para	我在收集寶可夢		para	我在收集宝可梦	While working on	to leave, a mysterious dark figure appeared and	正准备要回家，	いざ　かえろうと　すると	ばしょは　セキエイ　こうげんの
	cont	me sharp!			line	圖鑑的同時，找到了那些		line	图鉴的同时，找到了那些	#DEX, I looked				ポケモン　りーグ　ほんぶ　です!
					cont	最完美的寶可夢！		cont	最完美的宝可梦！	all over for	chased me! I couldn’t tell what it was, and I tried	突然有一个莫名其妙的	えたいの　しれない	オーキドはかせも
	para	While working on			para	我也研究出了足以戰勝		para	我也研究出了足以战胜	powerful #MON!		黑乎乎的东西追了过来……	くろい　ものが　おいかけて　きて……	いちど　ごらん　ください
	line	#DEX, I looked			line	任何屬性寶可夢的		line	任何属性宝可梦的	Not only that, I	as desperately as I could to run away, but in the			…　ポケモン　りーグ　より
	cont	all over for			cont	最佳搭配！		cont	最佳搭配！	assembled teams		我拼命逃跑，	ひっしに　にげたんです　けど	…　…　…
	cont	powerful #MON!			para	……而現在！		para	……而现在！	that would beat	end, it caught me anyway...	但还是没能逃脱它的追赶……	おいつかれて　わたし……	…　…
					para	我正站在		para	我正站在	any #MON type!				ひ507ム
	para	Not only that, I			line	寶可夢聯盟的頂點！		line	宝可梦联盟的顶点！	And now!	Then the next thing I knew, I was lying on the	等我回过神的时候，	きづいたら　いりぐちで	
	line	assembled teams			para	<PLAYER>！		para	<PLAYER>！	I'm the #MON		我发现我自己倒在入口那边……	たおれてたんです	
	cont	that would beat			line	知道這意味著什麼嗎？		line	知道这意味着什么吗？	LEAGUE champion!	ground outside of the tower’s entrance.			
	cont	any #MON type!			cont	…… ……		cont	…… ……	<PLAYER>! Do you		那天追赶我的	アレは　いったい	
