text/AgathasRoom.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_AgathaBeforeBattleText::				_AgathaBeforeBattleText::										
	text	I am AGATHA of			text	我是四天王中的菊子！		text	我是四天王中的菊子！	I am AGATHA of	BLUE: Yo, [VAR TRNAME(0000)]!	青绿：唷！[VAR TRNAME(0000)]！	グリーン『よう！　[VAR TRNAME(0000)]	 {next} 
	line	the ELITE FOUR!			para	聽說大木老頭		para	听说大木老头	the ELITE FOUR!				
					line	很看重你啊！		line	十分疼爱你啊！	OAK's taken a lot	Since I’ve become the Gym Leader here,	本大爷当上了道馆馆主之后，	おれさまが　ジムリーダーに　なって	
	para	OAK's taken a lot			para	別看他現在是個老頭子，		para	别看他现在是个老头子，	of interest in	the Viridian City Gym has really stepped it up!	常青道馆热闹得人山人海啊！	トキワジムは　おおにぎわい！	
	line	of interest in			line	他當年可是個		line	他当年可是个	you, child!				
	cont	you, child!			cont	又強又帥的男人！		cont	强大的好男人！	That old duff was	It’s made each day pretty busy, though!	每天都忙得不可开交！	まいにち　たいへん　だぜ！	
					cont	可惜現在已經不復當年！		cont	可惜现在已经不复当年！	once tough and				
	para	That old duff was			para	製作什麼寶可夢圖鑑，		para	制作什么宝可梦图鉴，	handsome! That	By the way...	不过吧……	しっかし　さあ……	
	line	once tough and			line	在我看來完全是一種錯誤！		line	在我看来完全是一种错误！	was decades ago!	what do you think of this Gym’s design?	你觉得这个道馆的设计如何？	このジムの　デザイン　どう？	
	cont	handsome! That			cont	因為寶可夢		cont	因为宝可梦	Now he just wants				
	cont	was decades ago!			cont	是為戰鬥而生的！		cont	是为战斗而生的！	to fiddle with	It makes me look like some kinda bad guy, right?	会不会显得本大爷像个坏人一样？	おれ　わるもの　みたいじゃねー？	
					para	<PLAYER>啊……！		para	<PLAYER>啊……！	his #DEX! He's				
	para	Now he just wants			line	讓我來告訴你		line	让我来告诉你	wrong! #MON	I’ve been thinking of remodeling the place.	也许是该重新装修一下了吧？	つくりなおそう　かなあ？	
	line	to fiddle with			cont	什麼是真正的戰鬥吧！		cont	什么是真正的战斗吧！	are for fighting!				
	cont	his #DEX! He's			done			done		<PLAYER>! I'll show	Well, it doesn’t matter all that much, I guess.	虽然无论在哪都不会	ま　どんな　ところでも	
	cont	wrong! #MON								you how a real	No matter the place, I’m still the best there is!	改变本大爷非凡的实力就是了！	おれの　つよさは　かわらねー　けど！	
	cont	are for fighting!								trainer fights!				
											All right! It’s been a while since I’ve gone all out.	……好了！就久违地	……よし！　ひさびさに	
	para	<PLAYER>! I'll show									So I’ll show you the strength of a top Trainer!	让你见识一下本大爷的实力吧！	おれさまの　じつりょく	
	line	you how a real												
	cont	trainer fights!											みせつけて　やるか！	
	done													
														
_AgathaEndBattleText::				_AgathaEndBattleText::										
	text	Woo-hoo!			text	呵呵！		text	呵呵！	Oh ho!	Oh my!	呵呵！	ほっほう！	ほっほう!
	line	You're something			line	你可真是了不起！		line	你可真是了不起！	You're something	You’re something special, child!	你可真是了不起！	たいした　もんだよ！	たいした　もんだよ!
	cont	special, child!						prompt		special, child!				
	prompt				prompt									
														
_AgathaAfterBattleText::				_AgathaAfterBattleText::										
	text	You win! I see			text	你贏了！你確實擁有		text	你赢了！你确实拥有	You win! I see	AGATHA: You win!	菊子：你赢了！	キクコ『あんたの　かち　だ！	あんたの　かち　だ!
	line	what the old duff			line	能被大木老頭看中的實力！		line	能被大木老头看中的实力！	what the old duff		你确实拥有	ジジイが　めを　つける　だけの	ジジイが　めを　つける　だけの
	cont	sees in you now!			para	這以外我無話可說了！		para	这以外我无话可说了！	sees in you now!	I see what the old duff sees in you now.			ことは　ある!
					line	去下一個房間吧！		line	去下一个房间吧！	I have nothing		能被大木老头看中的实力！	ことは　ある！	もう　これ　いじょう
	para	I have nothing			done			done		else to say! Run				あたしが　いう　ことは　ない!
	line	else to say! Run								along now, child!				つぎの　へやに　すすみな!
	cont	along now, child!												
	done													
														
_AgathaDontRunAwayText::				_AgathaDontRunAwayText::										
	text	Someone's voice:			text	聽到了某人的聲音：		text	听到了某人的声音：	Someone's voice:	You don’t have enough dough.	你啊……	アナタさま……　さきだつ　ものが	…　おとくな　けいじばん!
	line	Don't run away!			line	“不能逃走呀！”		line	“不能逃走呀！”	Don't run away!		最最重要的东西好像不太够噢？	たりませんよ？	ひとの　ポケモンは　ひとの　もの!
	done				done			done			...Dough means money, kid.			やせいの　ポケモンに　だけ
end				end								最最重要的东西……	さきだつ　もの　とは	モンスターボールを　なげて
												当然就是指钱咯！	……おかねの　こと　です	つかまえよう!
														
