data/text/text_5.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_IsEvolvingText::				_IsEvolvingText::										
	text	What? @			text	咦……？		text	哦……？	What? @	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text_ram	wStringBuffer			line	@		line	@	wStringBuffer	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	text_start				text_ram	wStringBuffer		text_ram	wStringBuffer					…　シルフ　カンパニー
	line	is evolving!			text	的樣子……！		text	的样子！	is evolving!		……西尔佛公司	……シルフカンパニー	
	done				done			done						
														
_FellAsleepText::				_FellAsleepText::										
	text	<TARGET>			text	<TARGET>		text	<TARGET>	<TARGET>	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	fell asleep!			line	睡著了！		line	睡着了！	fell asleep!	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	prompt				prompt			prompt						
														
_AlreadyAsleepText::				_AlreadyAsleepText::										
	text	<TARGET>'s			text	<TARGET>		text	<TARGET>	<TARGET>'s	It’s so pleasant...	真舒服……	きもち　いい……	おし!
	line	already asleep!			line	已經睡著了！		line	已经睡着了！	already asleep!		……呼……呼～	……　すー……　すー	いい　しょうぶ　だった
	prompt				prompt			prompt			... ... ...			
														
_PoisonedText::				_PoisonedText::							... ... Zzz.			
	text	<TARGET>			text	<TARGET>		text	<TARGET>	<TARGET>	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	was poisoned!			line	中毒了！		line	中毒了！	was poisoned!	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	prompt				prompt			prompt						
														
_BadlyPoisonedText::				_BadlyPoisonedText::										
	text	<TARGET>'s			text	<TARGET>		text	<TARGET>	<TARGET>'s	It’s so pleasant...	真舒服……	きもち　いい……	おし!
	line	badly poisoned!			line	中了劇毒！		line	中剧毒了！	badly poisoned!		……呼……呼～	……　すー……　すー	いい　しょうぶ　だった
	prompt				prompt			prompt			... ... ...			
														
_BurnedText::				_BurnedText::							... ... Zzz.			
	text	<TARGET>			text	<TARGET>		text	<TARGET>	<TARGET>	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
