data/pokemon/names.asm							
	"""RHYDON@@@@"""	鑽角犀獸@@			钻角犀兽@@	钻角犀兽口	"""RHYDON@@@@"""
	"""KANGASKHAN"""	袋獸@@@@@@			袋兽@@@@@@	袋兽口口口	"""KANGASKHAN"""
	"""NIDORAN♂@@"""	尼多朗@@@@			尼多朗@@@@	尼多朗口口	"""NIDORAN♂@@"""
	"""CLEFAIRY@@"""	皮皮@@@@@@			皮皮@@@@@@	皮皮口口口	"""CLEFAIRY@@"""
	"""SPEAROW@@@"""	烈雀@@@@@@			烈雀@@@@@@	烈雀口口口	"""SPEAROW@@@"""
	"""VOLTORB@@@"""	霹靂電球@@			霹雳电球@@	霹雳电球口	"""VOLTORB@@@"""
	"""NIDOKING@@"""	尼多王@@@@			尼多王@@@@	尼多王口口	"""NIDOKING@@"""
	"""SLOWBRO@@@"""	呆殼獸@@@@			呆壳兽@@@@	呆壳兽口口	"""SLOWBRO@@@"""
	"""IVYSAUR@@@"""	妙蛙草@@@@			妙蛙草@@@@	妙蛙草口口	"""IVYSAUR@@@"""
	"""EXEGGUTOR@"""	椰蛋樹@@@@			椰蛋树@@@@	椰蛋树口口	"""EXEGGUTOR@"""
	"""LICKITUNG@"""	大舌頭@@@@			大舌头@@@@	大舌头口口	"""LICKITUNG@"""
	"""EXEGGCUTE@"""	蛋蛋@@@@@@			蛋蛋@@@@@@	蛋蛋口口口	"""EXEGGCUTE@"""
	"""GRIMER@@@@"""	臭泥@@@@@@			臭泥@@@@@@	臭泥口口口	"""GRIMER@@@@"""
	"""GENGAR@@@@"""	耿鬼@@@@@@			耿鬼@@@@@@	耿鬼口口口	"""GENGAR@@@@"""
	"""NIDORAN♀@@"""	尼多蘭@@@@			尼多兰@@@@	尼多兰口口	"""NIDORAN♀@@"""
	"""NIDOQUEEN@"""	尼多后@@@@			尼多后@@@@	尼多后口口	"""NIDOQUEEN@"""
	"""CUBONE@@@@"""	卡拉卡拉@@			卡拉卡拉@@	卡拉卡拉口	"""CUBONE@@@@"""
	"""RHYHORN@@@"""	獨角犀牛@@			独角犀牛@@	独角犀牛口	"""RHYHORN@@@"""
	"""LAPRAS@@@@"""	拉普拉斯@@			拉普拉斯@@	拉普拉斯口	"""LAPRAS@@@@"""
	"""ARCANINE@@"""	風速狗@@@@			风速狗@@@@	风速狗口口	"""ARCANINE@@"""
	"""MEW@@@@@@@"""	夢幻@@@@@@			梦幻@@@@@@	梦幻口口口	"""MEW@@@@@@@"""
	"""GYARADOS@@"""	暴鯉龍@@@@			暴鲤龙@@@@	暴鲤龙口口	"""GYARADOS@@"""
	"""SHELLDER@@"""	大舌貝@@@@			大舌贝@@@@	大舌贝口口	"""SHELLDER@@"""
	"""TENTACOOL@"""	瑪瑙水母@@			玛瑙水母@@	玛瑙水母口	"""TENTACOOL@"""
	"""GASTLY@@@@"""	鬼斯@@@@@@			鬼斯@@@@@@	鬼斯口口口	"""GASTLY@@@@"""
	"""SCYTHER@@@"""	飛天螳螂@@			飞天螳螂@@	飞天螳螂口	"""SCYTHER@@@"""
	"""STARYU@@@@"""	海星星@@@@			海星星@@@@	海星星口口	"""STARYU@@@@"""
	"""BLASTOISE@"""	水箭龜@@@@			水箭龟@@@@	水箭龟口口	"""BLASTOISE@"""
	"""PINSIR@@@@"""	凱羅斯@@@@			凯罗斯@@@@	凯罗斯口口	"""PINSIR@@@@"""
	"""TANGELA@@@"""	蔓藤怪@@@@			蔓藤怪@@@@	蔓藤怪口口	"""TANGELA@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""GROWLITHE@"""	卡蒂狗@@@@			卡蒂狗@@@@	卡蒂狗口口	"""GROWLITHE@"""
	"""ONIX@@@@@@"""	大岩蛇@@@@			大岩蛇@@@@	大岩蛇口口	"""ONIX@@@@@@"""
	"""FEAROW@@@@"""	大嘴雀@@@@			大嘴雀@@@@	大嘴雀口口	"""FEAROW@@@@"""
	"""PIDGEY@@@@"""	波波@@@@@@			波波@@@@@@	波波口口口	"""PIDGEY@@@@"""
	"""SLOWPOKE@@"""	呆呆獸@@@@			呆呆兽@@@@	呆呆兽口口	"""SLOWPOKE@@"""
	"""KADABRA@@@"""	勇基拉@@@@			勇基拉@@@@	勇基拉口口	"""KADABRA@@@"""
	"""GRAVELER@@"""	隆隆石@@@@			隆隆石@@@@	隆隆石口口	"""GRAVELER@@"""
	"""CHANSEY@@@"""	吉利蛋@@@@			吉利蛋@@@@	吉利蛋口口	"""CHANSEY@@@"""
	"""MACHOKE@@@"""	豪力@@@@@@			豪力@@@@@@	豪力口口口	"""MACHOKE@@@"""
	"""MR.MIME@@@"""	魔牆人偶@@			魔墙人偶@@	魔墙人偶口	"""MR.MIME@@@"""
	"""HITMONLEE@"""	飛腿郎@@@@			飞腿郎@@@@	飞腿郎口口	"""HITMONLEE@"""
	"""HITMONCHAN"""	快拳郎@@@@			快拳郎@@@@	快拳郎口口	"""HITMONCHAN"""
	"""ARBOK@@@@@"""	阿柏怪@@@@			阿柏怪@@@@	阿柏怪口口	"""ARBOK@@@@@"""
	"""PARASECT@@"""	派拉斯特@@			派拉斯特@@	派拉斯特口	"""PARASECT@@"""
	"""PSYDUCK@@@"""	可達鴨@@@@			可达鸭@@@@	可达鸭口口	"""PSYDUCK@@@"""
	"""DROWZEE@@@"""	催眠貘@@@@			催眠貘@@@@	催眠貘口口	"""DROWZEE@@@"""
	"""GOLEM@@@@@"""	隆隆岩@@@@			隆隆岩@@@@	隆隆岩口口	"""GOLEM@@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MAGMAR@@@@"""	鴨嘴火獸@@			鸭嘴火兽@@	鸭嘴火兽口	"""MAGMAR@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""ELECTABUZZ"""	電擊獸@@@@			电击兽@@@@	电击兽口口	"""ELECTABUZZ"""
	"""MAGNETON@@"""	三合一磁怪			三合一磁怪	三合一磁怪	"""MAGNETON@@"""
	"""KOFFING@@@"""	瓦斯彈@@@@			瓦斯弹@@@@	瓦斯弹口口	"""KOFFING@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MANKEY@@@@"""	猴怪@@@@@@			猴怪@@@@@@	猴怪口口口	"""MANKEY@@@@"""
	"""SEEL@@@@@@"""	小海獅@@@@			小海狮@@@@	小海狮口口	"""SEEL@@@@@@"""
	"""DIGLETT@@@"""	地鼠@@@@@@			地鼠@@@@@@	地鼠口口口	"""DIGLETT@@@"""
	"""TAUROS@@@@"""	肯泰羅@@@@			肯泰罗@@@@	肯泰罗口口	"""TAUROS@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""FARFETCH'D"""	大蔥鴨@@@@			大葱鸭@@@@	大葱鸭口口	"""FARFETCH'D"""
	"""VENONAT@@@"""	毛球@@@@@@			毛球@@@@@@	毛球口口口	"""VENONAT@@@"""
	"""DRAGONITE@"""	快龍@@@@@@			快龙@@@@@@	快龙口口口	"""DRAGONITE@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""DODUO@@@@@"""	嘟嘟@@@@@@			嘟嘟@@@@@@	嘟嘟口口口	"""DODUO@@@@@"""
	"""POLIWAG@@@"""	蚊香蝌蚪@@			蚊香蝌蚪@@	蚊香蝌蚪口	"""POLIWAG@@@"""
	"""JYNX@@@@@@"""	迷唇姐@@@@			迷唇姐@@@@	迷唇姐口口	"""JYNX@@@@@@"""
	"""MOLTRES@@@"""	火焰鳥@@@@			火焰鸟@@@@	火焰鸟口口	"""MOLTRES@@@"""
	"""ARTICUNO@@"""	急凍鳥@@@@			急冻鸟@@@@	急冻鸟口口	"""ARTICUNO@@"""
	"""ZAPDOS@@@@"""	閃電鳥@@@@			闪电鸟@@@@	闪电鸟口口	"""ZAPDOS@@@@"""
	"""DITTO@@@@@"""	百變怪@@@@			百变怪@@@@	百变怪口口	"""DITTO@@@@@"""
	"""MEOWTH@@@@"""	喵喵@@@@@@			喵喵@@@@@@	喵喵口口口	"""MEOWTH@@@@"""
	"""KRABBY@@@@"""	大鉗蟹@@@@			大钳蟹@@@@	大钳蟹口口	"""KRABBY@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""VULPIX@@@@"""	六尾@@@@@@			六尾@@@@@@	六尾口口口	"""VULPIX@@@@"""
	"""NINETALES@"""	九尾@@@@@@			九尾@@@@@@	九尾口口口	"""NINETALES@"""
	"""PIKACHU@@@"""	皮卡丘@@@@			皮卡丘@@@@	皮卡丘口口	"""PIKACHU@@@"""
	"""RAICHU@@@@"""	雷丘@@@@@@			雷丘@@@@@@	雷丘口口口	"""RAICHU@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""DRATINI@@@"""	迷你龍@@@@			迷你龙@@@@	迷你龙口口	"""DRATINI@@@"""
	"""DRAGONAIR@"""	哈克龍@@@@			哈克龙@@@@	哈克龙口口	"""DRAGONAIR@"""
	"""KABUTO@@@@"""	化石盔@@@@			化石盔@@@@	化石盔口口	"""KABUTO@@@@"""
	"""KABUTOPS@@"""	鐮刀盔@@@@			镰刀盔@@@@	镰刀盔口口	"""KABUTOPS@@"""
	"""HORSEA@@@@"""	墨海馬@@@@			墨海马@@@@	墨海马口口	"""HORSEA@@@@"""
	"""SEADRA@@@@"""	海刺龍@@@@			海刺龙@@@@	海刺龙口口	"""SEADRA@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""SANDSHREW@"""	穿山鼠@@@@			穿山鼠@@@@	穿山鼠口口	"""SANDSHREW@"""
	"""SANDSLASH@"""	穿山王@@@@			穿山王@@@@	穿山王口口	"""SANDSLASH@"""
	"""OMANYTE@@@"""	菊石獸@@@@			菊石兽@@@@	菊石兽口口	"""OMANYTE@@@"""
	"""OMASTAR@@@"""	多刺菊石獸			多刺菊石兽	多刺菊石兽	"""OMASTAR@@@"""
	"""JIGGLYPUFF"""	胖丁@@@@@@			胖丁@@@@@@	胖丁口口口	"""JIGGLYPUFF"""
	"""WIGGLYTUFF"""	胖可丁@@@@			胖可丁@@@@	胖可丁口口	"""WIGGLYTUFF"""
	"""EEVEE@@@@@"""	伊布@@@@@@			伊布@@@@@@	伊布口口口	"""EEVEE@@@@@"""
	"""FLAREON@@@"""	火伊布@@@@			火伊布@@@@	火伊布口口	"""FLAREON@@@"""
	"""JOLTEON@@@"""	雷伊布@@@@			雷伊布@@@@	雷伊布口口	"""JOLTEON@@@"""
	"""VAPOREON@@"""	水伊布@@@@			水伊布@@@@	水伊布口口	"""VAPOREON@@"""
	"""MACHOP@@@@"""	腕力@@@@@@			腕力@@@@@@	腕力口口口	"""MACHOP@@@@"""
	"""ZUBAT@@@@@"""	超音蝠@@@@			超音蝠@@@@	超音蝠口口	"""ZUBAT@@@@@"""
	"""EKANS@@@@@"""	阿柏蛇@@@@			阿柏蛇@@@@	阿柏蛇口口	"""EKANS@@@@@"""
	"""PARAS@@@@@"""	派拉斯@@@@			派拉斯@@@@	派拉斯口口	"""PARAS@@@@@"""
	"""POLIWHIRL@"""	蚊香君@@@@			蚊香君@@@@	蚊香君口口	"""POLIWHIRL@"""
	"""POLIWRATH@"""	蚊香泳士@@			蚊香泳士@@	蚊香泳士口	"""POLIWRATH@"""
	"""WEEDLE@@@@"""	獨角蟲@@@@			独角虫@@@@	独角虫口口	"""WEEDLE@@@@"""
	"""KAKUNA@@@@"""	鐵殼蛹@@@@			铁壳蛹@@@@	铁壳蛹口口	"""KAKUNA@@@@"""
	"""BEEDRILL@@"""	大針蜂@@@@			大针蜂@@@@	大针蜂口口	"""BEEDRILL@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""DODRIO@@@@"""	嘟嘟利@@@@			嘟嘟利@@@@	嘟嘟利口口	"""DODRIO@@@@"""
	"""PRIMEAPE@@"""	火暴猴@@@@			火暴猴@@@@	火暴猴口口	"""PRIMEAPE@@"""
	"""DUGTRIO@@@"""	三地鼠@@@@			三地鼠@@@@	三地鼠口口	"""DUGTRIO@@@"""
	"""VENOMOTH@@"""	摩魯蛾@@@@			摩鲁蛾@@@@	摩鲁蛾口口	"""VENOMOTH@@"""
	"""DEWGONG@@@"""	白海獅@@@@			白海狮@@@@	白海狮口口	"""DEWGONG@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""CATERPIE@@"""	綠毛蟲@@@@			绿毛虫@@@@	绿毛虫口口	"""CATERPIE@@"""
	"""METAPOD@@@"""	鐵甲蛹@@@@			铁甲蛹@@@@	铁甲蛹口口	"""METAPOD@@@"""
	"""BUTTERFREE"""	巴大蝶@@@@			巴大蝶@@@@	巴大蝶口口	"""BUTTERFREE"""
	"""MACHAMP@@@"""	怪力@@@@@@			怪力@@@@@@	怪力口口口	"""MACHAMP@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""GOLDUCK@@@"""	哥達鴨@@@@			哥达鸭@@@@	哥达鸭口口	"""GOLDUCK@@@"""
	"""HYPNO@@@@@"""	引夢貘人@@			引梦貘人@@	引梦貘人口	"""HYPNO@@@@@"""
	"""GOLBAT@@@@"""	大嘴蝠@@@@			大嘴蝠@@@@	大嘴蝠口口	"""GOLBAT@@@@"""
	"""MEWTWO@@@@"""	超夢@@@@@@			超梦@@@@@@	超梦口口口	"""MEWTWO@@@@"""
	"""SNORLAX@@@"""	卡比獸@@@@			卡比兽@@@@	卡比兽口口	"""SNORLAX@@@"""
	"""MAGIKARP@@"""	鯉魚王@@@@			鲤鱼王@@@@	鲤鱼王口口	"""MAGIKARP@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""MUK@@@@@@@"""	臭臭泥@@@@			臭臭泥@@@@	臭臭泥口口	"""MUK@@@@@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""KINGLER@@@"""	巨鉗蟹@@@@			巨钳蟹@@@@	巨钳蟹口口	"""KINGLER@@@"""
	"""CLOYSTER@@"""	刺甲貝@@@@			刺甲贝@@@@	刺甲贝口口	"""CLOYSTER@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""ELECTRODE@"""	頑皮雷彈@@			顽皮雷弹@@	顽皮雷弹口	"""ELECTRODE@"""
	"""CLEFABLE@@"""	皮可西@@@@			皮可西@@@@	皮可西口口	"""CLEFABLE@@"""
	"""WEEZING@@@"""	雙彈瓦斯@@			双弹瓦斯@@	双弹瓦斯口	"""WEEZING@@@"""
	"""PERSIAN@@@"""	貓老大@@@@			猫老大@@@@	猫老大口口	"""PERSIAN@@@"""
	"""MAROWAK@@@"""	嘎啦嘎啦@@			嘎啦嘎啦@@	嘎啦嘎啦口	"""MAROWAK@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""HAUNTER@@@"""	鬼斯通@@@@			鬼斯通@@@@	鬼斯通口口	"""HAUNTER@@@"""
	"""ABRA@@@@@@"""	凱西@@@@@@			凯西@@@@@@	凯西口口口	"""ABRA@@@@@@"""
	"""ALAKAZAM@@"""	胡地@@@@@@			胡地@@@@@@	胡地口口口	"""ALAKAZAM@@"""
	"""PIDGEOTTO@"""	比比鳥@@@@			比比鸟@@@@	比比鸟口口	"""PIDGEOTTO@"""
	"""PIDGEOT@@@"""	大比鳥@@@@			大比鸟@@@@	大比鸟口口	"""PIDGEOT@@@"""
	"""STARMIE@@@"""	寶石海星@@			宝石海星@@	宝石海星口	"""STARMIE@@@"""
	"""BULBASAUR@"""	妙蛙種子@@			妙蛙种子@@	妙蛙种子口	"""BULBASAUR@"""
	"""VENUSAUR@@"""	妙蛙花@@@@			妙蛙花@@@@	妙蛙花口口	"""VENUSAUR@@"""
	"""TENTACRUEL"""	毒刺水母@@			毒刺水母@@	毒刺水母口	"""TENTACRUEL"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
	"""GOLDEEN@@@"""	角金魚@@@@			角金鱼@@@@	角金鱼口口	"""GOLDEEN@@@"""
	"""SEAKING@@@"""	金魚王@@@@			金鱼王@@@@	金鱼王口口	"""SEAKING@@@"""
	"""MISSINGNO."""	缺號@@@@@@			缺号@@@@@@	缺号口口口	"""MISSINGNO."""
