data/moves/names.asm	@		
	"""POUND"""	拍擊	
	"""KARATE CHOP"""	空手劈	
	"""DOUBLESLAP"""	連環巴掌	
	"""COMET PUNCH"""	連續拳	
	"""MEGA PUNCH"""	百萬噸重拳	
	"""PAY DAY"""	聚寶功	
	"""FIRE PUNCH"""	火焰拳	
	"""ICE PUNCH"""	冰凍拳	
	"""THUNDERPUNCH"""	雷電拳	
	"""SCRATCH"""	抓	
	"""VICEGRIP"""	夾住	
	"""GUILLOTINE"""	斷頭鉗	
	"""RAZOR WIND"""	旋風刀	
	"""SWORDS DANCE"""	劍舞	
	"""CUT"""	居合斬	
	"""GUST"""	起風	
	"""WING ATTACK"""	翅膀攻擊	
	"""WHIRLWIND"""	吹飛	
	"""FLY"""	飛翔	
	"""BIND"""	綁緊	
	"""SLAM"""	摔打	
	"""VINE WHIP"""	藤鞭	
	"""STOMP"""	踩踏	
	"""DOUBLE KICK"""	二連踢	
	"""MEGA KICK"""	百萬噸重踢	
	"""JUMP KICK"""	飛踢	
	"""ROLLING KICK"""	迴旋踢	
	"""SAND-ATTACK"""	潑沙	
	"""HEADBUTT"""	頭錘	
	"""HORN ATTACK"""	角撞	
	"""FURY ATTACK"""	亂擊	
	"""HORN DRILL"""	角鑽	
	"""TACKLE"""	撞擊	
	"""BODY SLAM"""	泰山壓頂	
	"""WRAP"""	緊束	
	"""TAKE DOWN"""	猛撞	
	"""THRASH"""	大鬧一番	
	"""DOUBLE-EDGE"""	捨身衝撞	
	"""TAIL WHIP"""	搖尾巴	
	"""POISON STING"""	毒針	
	"""TWINEEDLE"""	雙針	
	"""PIN MISSILE"""	飛彈針	
	"""LEER"""	瞪眼	
	"""BITE"""	咬住	
	"""GROWL"""	叫聲	
	"""ROAR"""	吼叫	
	"""SING"""	唱歌	
	"""SUPERSONIC"""	超音波	
	"""SONICBOOM"""	音爆	
	"""DISABLE"""	定身法	
	"""ACID"""	溶解液	
	"""EMBER"""	火花	
	"""FLAMETHROWER"""	噴射火焰	
	"""MIST"""	白霧	
	"""WATER GUN"""	水槍	
	"""HYDRO PUMP"""	水炮	
	"""SURF"""	衝浪	
	"""ICE BEAM"""	冰凍光束	
	"""BLIZZARD"""	暴風雪	
	"""PSYBEAM"""	幻象光線	
	"""BUBBLEBEAM"""	泡沫光線	
	"""AURORA BEAM"""	極光束	
	"""HYPER BEAM"""	破壞光線	
	"""PECK"""	啄	
	"""DRILL PECK"""	啄鑽	
	"""SUBMISSION"""	地獄翻滾	
	"""LOW KICK"""	踢倒	
	"""COUNTER"""	雙倍奉還	
	"""SEISMIC TOSS"""	地球上投	
	"""STRENGTH"""	怪力	
	"""ABSORB"""	吸取	
	"""MEGA DRAIN"""	超級吸取	
	"""LEECH SEED"""	寄生種子	
	"""GROWTH"""	生長	
	"""RAZOR LEAF"""	飛葉快刀	
	"""SOLARBEAM"""	日光束	
	"""POISONPOWDER"""	毒粉	
	"""STUN SPORE"""	麻痺粉	
	"""SLEEP POWDER"""	催眠粉	
	"""PETAL DANCE"""	花瓣舞	
	"""STRING SHOT"""	吐絲	
	"""DRAGON RAGE"""	龍之怒	
	"""FIRE SPIN"""	火焰旋渦	
	"""THUNDERSHOCK"""	電擊	
	"""THUNDERBOLT"""	十萬伏特	
	"""THUNDER WAVE"""	電磁波	
	"""THUNDER"""	打雷	
	"""ROCK THROW"""	落石	
	"""EARTHQUAKE"""	地震	
	"""FISSURE"""	地裂	
	"""DIG"""	挖洞	
	"""TOXIC"""	劇毒	
	"""CONFUSION"""	念力	
