data/trainers/name_pointers.asm	@																
					dw .YoungsterName		dw wTrainerName										
					dw .BugCatcherName		dw wTrainerName										
	dw .LassName		dw wTrainerName														
	dw .JrTrainerMName		dw wTrainerName														
					dw .JrTrainerFName		dw wTrainerName										
	dw .PokemaniacName		dw wTrainerName														
	dw .SuperNerdName		dw wTrainerName														
					dw .BurglarName		dw wTrainerName										
					dw .EngineerName		dw wTrainerName										
					dw .UnusedJugglerName		dw wTrainerName										
					dw .SwimmerName		dw wTrainerName										
	dw .BeautyName		dw wTrainerName														
					dw .RockerName		dw wTrainerName										
					dw .JugglerName		dw wTrainerName										
					dw .BlackbeltName		dw wTrainerName										
					dw .ProfOakName		dw wTrainerName										
	dw .ChiefName		dw wTrainerName														
					dw .ScientistName		dw wTrainerName										
					dw .RocketName		dw wTrainerName										
					dw .CooltrainerMName		dw wTrainerName										
					dw .CooltrainerFName		dw wTrainerName										
					dw .PhychicName		dw wTrainerName										
	"""YOUNGSTER@"""	短褲															
	"""BUG CATCHER@"""	捕蟲															
	"""LASS@"""																
	"""JR.TRAINER♂@"""																
	"""JR.TRAINER♀@"""	女童軍															
	"""POKéMANIAC@"""																
	"""SUPER NERD@"""																
	"""BURGLAR@"""	打劫者															
	"""ENGINEER@"""	大叔															
	"""JUGGLER@"""	雜耍															
	"""SWIMMER@"""	泳褲															
	"""BEAUTY@"""																
	"""ROCKER@"""	搖滾團															
	"""JUGGLER@"""	雜耍															
	"""BLACKBELT@"""	空手道															
	"""PROF.OAK@"""	大木															
	"""CHIEF@"""																
	"""SCIENTIST@"""	研究員															
	"""ROCKET@"""	隊員															
	"""COOLTRAINER♂@"""	精英♂															
	"""COOLTRAINER♀@"""	精英♀															
	"""PHYCHIC@"""	超能力															
data/trainers/names.asm	@																
	"""YOUNGSTER"""	短褲小子				YOUNGSTER		"db ""YOUNGSTER@"""		"""YOUNGSTER@"""		"""YOUNGSTER"""		たんパンこぞう	たんパン	短裤小子	短裤
	"""BUG CATCHER"""	捕蟲少年				BUG CATCHER		"db ""BUG CATCHER@"""		"""BUG CATCHER@"""		"""BUG CATCHER"""		むしとりのしょうねん	むしとり	捕虫少年	捕虫
	"""LASS"""	迷你裙				LASS		"db ""LASS@"""		"""LASS@"""		"""LASS"""		ミニスカート	ミニスカ	迷你裙	
	"""SAILOR"""	水手				SAILOR		"db ""SAILOR@"""		"""SAILOR@"""		"""SAILOR"""		ふなのり		水手	
	"""JR.TRAINER♂"""	童子軍				JR.TRAINER♂		"db ""JR.TRAINER♂@"""		"""JR.TRAINER♂@"""		"""JR.TRAINER♂"""		ボーイスカウト	ボーイ	童子军	
	"""JR.TRAINER♀"""	女童子軍				JR.TRAINER♀		"db ""JR.TRAINER♀@"""		"""JR.TRAINER♀@"""		"""JR.TRAINER♀"""		ガールスカウト	ガール	女童子军	女童军
	"""POKéMANIAC"""	怪獸狂				POKéMANIAC		"db ""POKéMANIAC@"""		"""POKéMANIAC@"""		"""POKéMANIAC"""		かいじゅうマニア	マニア	怪兽狂	
	"""SUPER NERD"""	理科男				SUPER NERD		"db ""SUPER NERD@"""		"""SUPER NERD@"""		"""SUPER NERD"""		りかけいのおとこ	りかけい	理科男	
	"""HIKER"""	登山男				HIKER		"db ""HIKER@"""		"""HIKER@"""		"""HIKER"""		やまおとこ		登山男	
	"""BIKER"""	暴走族				BIKER		"db ""BIKER@"""		"""BIKER@"""		"""BIKER"""		ぼうそうぞく		暴走族	
	"""BURGLAR"""	趁火打劫者				BURGLAR		"db ""BURGLAR@"""		"""BURGLAR@"""		"""BURGLAR"""		かじばどろぼう	どろぼう	趁火打劫者	打劫者
	"""ENGINEER"""	電工大叔				ENGINEER		"db ""ENGINEER@"""		"""ENGINEER@"""		"""ENGINEER"""		でんきやのオヤジ	オヤジ	电工大叔	大叔
	"""JUGGLER"""	雜耍藝人				JUGGLER		"db ""JUGGLER@"""		"""JUGGLER@"""		"""JUGGLER"""		ジプシージャグラー	ジャック	杂耍艺人	杂耍
	"""FISHERMAN"""	垂釣者				FISHERMAN		"db ""FISHERMAN@"""		"""FISHERMAN@"""		"""FISHERMAN"""		つりびと		垂钓者	
	"""SWIMMER"""	泳褲小夥子				SWIMMER		"db ""SWIMMER@"""		"""SWIMMER@"""		"""SWIMMER"""		かいパンやろう	かいパン	泳裤小伙子	泳裤
	"""CUE BALL"""	光頭男				CUE BALL		"db ""CUE BALL@"""		"""CUE BALL@"""		"""CUE BALL"""		スキンへッズ		光头男	
	"""GAMBLER"""	賭徒				GAMBLER		"db ""GAMBLER@"""		"""GAMBLER@"""		"""GAMBLER"""		ギャンブラー		赌徒	
	"""BEAUTY"""	大姐姐				BEAUTY		"db ""BEAUTY@"""		"""BEAUTY@"""		"""BEAUTY"""		おとなのおねえさん	おねえさん	大姐姐	
	"""PSYCHIC"""	超能力者				PSYCHIC		"db ""PSYCHIC@"""		"""PSYCHIC@"""		"""PSYCHIC"""		サイキッカー		超能力者	超能力
	"""ROCKER"""	電氣搖滾團				ROCKER		"db ""ROCKER@"""		"""ROCKER@"""		"""ROCKER"""		でんきグループ		电气摇滚团	摇滚团
