data/pokemon/dex_text.asm									
_BulbasaurDexEntry::				_BulbasaurDexEntry::					
	text	It can go for days			text	背上的種子裡儲存著營養，			
	next	without eating a			next	所以即使好幾天不吃東西			
	next	single morsel.			next	也可以活得好好的！			
									
	page	In the bulb on							
	next	its back, it							
	next	stores energy							
	dex				dex				
									
_IvysaurDexEntry::				_IvysaurDexEntry::					
	text	The bulb on its			text	它的花苞會在吸收養分後			
	next	back grows by			next	長大。當花苞發出香味時，			
	next	drawing energy.			next	就預示著它快要開花了。			
									
	page	It gives off an							
	next	aroma when it is							
	next	ready to bloom							
	dex				dex				
									
_VenusaurDexEntry::				_VenusaurDexEntry::					
	text	The flower on its			text	它背上開出的大花			
	next	back catches the			next	能夠吸收太陽光			
	next	sun's rays.			next	並將其轉換為能量。			
									
	page	The sunlight is							
	next	then absorbed and							
	next	used for energy							
	dex				dex				
									
_CharmanderDexEntry::				_CharmanderDexEntry::					
	text	The flame at the			text	要是把它帶到安靜的地方，			
	next	tip of its tail			next	就能聽到它的尾巴燃燒時			
	next	makes a sound as			next	發出的微小的聲音。			
									
	page	it burns. You can							
	next	only hear it in							
	next	quiet places							
	dex				dex				
									
_CharmeleonDexEntry::				_CharmeleonDexEntry::					
	text	Tough fights could			text	在與強敵戰鬥的過程中，			
	next	excite this			next	如果情緒變得興奮起來，			
	next	#MON. When			next	有時會噴出青白色的烈火。			
									
	page	excited, it may							
	next	blow out bluish-							
	next	white flames							
	dex				dex				
									
_CharizardDexEntry::				_CharizardDexEntry::					
	text	When expelling a			text	從口中噴出灼熱的火焰時，			
	next	blast of super			next	尾巴尖端的紅色火焰會			
	next	hot fire, the red			next	燃燒得更加猛烈。			
									
	page	flame at the tip							
	next	of its tail burns							
	next	more intensely							
	dex				dex				
									
_SquirtleDexEntry::				_SquirtleDexEntry::					
	text	Shoots water at			text	透過從水面噴水來捕食。			
	next	prey while in the			next	在危急時刻會將四肢			
	next	water.			next	縮入龜殼裡保護自己。			
									
	page	Withdraws into							
	next	its shell when in							
	next	danger							
	dex				dex				
									
_WartortleDexEntry::				_WartortleDexEntry::					
	text	When tapped, this			text	如果拍打它的頭部，			
	next	#MON will pull			next	它會把頭縮排殼裡，但尾巴			
	next	in its head, but			next	還是會露出來一點點。			
									
	page	its tail will							
	next	still stick out a							
	next	little bit							
	dex				dex				
									
_BlastoiseDexEntry::				_BlastoiseDexEntry::					
	text	Once it takes aim			text	一旦鎖定了目標，			
	next	at its enemy, it			next	它會以超越了			
	next	blasts out water			next	消防水槍的力道來噴水。			
									
	page	with even more							
	next	force than a fire							
