text/ViridianGym.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_GiovanniPreBattleText::				_GiovanniPreBattleText::										
	text	Fwahahaha! This is			text	哈哈哈哈哈！		text	哈哈哈哈哈！	Fwahahaha! This is	But you have found me again.	不过……	しかし……　きみに	を　おぼえたい…!
	line	my hideout!			line	歡迎來到我的藏身之所！		line	欢迎来到我的藏身之所！	my hideout!	So be it.	既然被你发现我藏身于此，	みつかって　しまっては	しかし　@
					para	我本打算在火箭隊		para	我本打算在火箭队	I planned to				
	para	I planned to			line	復活的那天到來之前，		line	复活的那天到来之前，	resurrect TEAM	This time, I’m not holding back!	那也没办法了！	しょうがない！	
	line	resurrect TEAM			cont	先在這座道館裡重整態勢！		cont	先在这座道馆里重整态势！	ROCKET here!				
	cont	ROCKET here!			para	不過……		para	不过……	But, you have		这次我是不会手下留情的！	こんどは　てかげん　なしだ！	
					line	既然被你發現我藏身於此，		line	既然被你发现我藏身于此，	caught me again!				
	para	But, you have			cont	那也沒辦法了！		cont	那也没办法了！	So be it! This				
	line	caught me again!			cont	這次我是不會手下留情的！		cont	这次我是不会手下留情的！	time, I'm not				
	cont	So be it! This			para	那麼……就再讓你嚐嚐！		para	那么……就再让你尝尝！	holding back!				
	cont	time, I'm not			line	最強的寶可夢訓練家——		line	最强的宝可梦训练家——	Once more, you				
	cont	holding back!			cont	我坂木的厲害！		cont	我坂木的厉害！	shall face				
					done			done		GIOVANNI, the				
	para	Once more, you								greatest trainer!				
	line	shall face												
	cont	GIOVANNI, the												
	cont	greatest trainer!												
	done													
														
_ReceivedEarthBadgeText::				_ReceivedEarthBadgeText::										
	text	Ha!			text	呼——呼——！		text	呼——呼——！	Ha!	SABRINA: I foresaw that you would come here	娜姿：我早意识到你会过来。	ナツメ『あなたが　くるのは	こういう　けっかは　わかってた…
	line	That was a truly			line	真是一場激烈的對戰！		line	真是一场激烈的对战！	That was a truly	by looking into the future.		わかって　いたわ	…　そう!
	cont	intense fight!			cont	……確實是你贏了！		cont	……确实是你赢了！	intense fight!		可我故意不去预测		これが　よち　のうりょく　だ
	cont	You have won!			para	為了證明		para	为了证明	You have won!	But I intentionally didn’t look to see who will	与你对战后的输赢……	でも　しょうぶの　ゆくえは	
	cont	As proof, here is			line	剛才所發生的一切，		line	刚才所发生的一切，	As proof, here is	win our battle.		あえて　よち　してないの	
	cont	the EARTHBADGE!@			cont	就把綠色徽章給你吧！@		cont	就把绿色徽章给你吧！@	the EARTHBADGE!@		因为这是要比过才能知道！		
	text_end				text_end			text_end			Let’s find out now, together!		だって　いまから　わかるもの！	
														
_GiovanniPostBattleAdviceText::				_GiovanniPostBattleAdviceText::										
	text	Having lost, I			text	以這樣的方式輸給你，		text	以这样的方式输给你，	Having lost, I	MISTY: I heard an interesting rumor!	小霞：我听到传闻了！听说你	カスミ『うわさは　きいたわ！	 {next} 
	line	cannot face my			line	我確實沒有辦法		line	我确实没有办法	cannot face my	Not only did you and that other kid defeat	和另一个孩子不但战胜了火箭队，	きみや　あのこが	@
	cont	underlings!			cont	向部下交代！		cont	向部下交代！	underlings!				 {PLAYER}  {RIVAL} ポケモン
	cont	TEAM ROCKET is			cont	火箭隊……		cont	火箭队……	TEAM ROCKET is	those Team Rocket guys, but you also	还互相争夺了联盟冠军是吧。	ロケットだんを　たおして	…
	cont	finished forever!			cont	就從今天起正式解散！		cont	就从今天起正式解散！	finished forever!				
					para	我自己，		para	我自己，	I will dedicate my	met again in the battle for Champion.	……我啊！简直是	チャンピオンを　きそい　あったって	 {TARGET}  {USER}  {5B}  {5C} トレーナーロケットだん
	para	I will dedicate my			line	則決定從頭開始		line	则决定从头开始	life to the study		心痒痒到不行了呢！		
	line	life to the study			cont	寶可夢的修行！		cont	宝可梦的修行！	of #MON!	Argh!		……わたし！　もう	
	cont	of #MON!			para	希望有一天……		para	希望有一天……	Let us meet again	I just can’t take it anymore!	我真的忍不住想快点和	うずうずして　しょうが　ないの	
					line	我們還能有機會見面！		line	我们还能有机会见面！	some day!		变强的你再次对战了！		
	para	Let us meet again			cont	……再見了！@		cont	……再见了！@	Farewell!@	You’ve gotten so strong that I just absolutely		つよくなった　きみと　もういちど	
	line	someday!			text_end			text_end			have to battle you again!	你应该不会对我说“不”吧！	たたかって　みたくて　たまらない！	
	cont	Farewell!@												
	text_end										You got that? No refusing!		いやとは　いわない　わよね！	
														
_GiovanniEarthBadgeInfoText::				_GiovanniEarthBadgeInfoText::										
	text	The EARTHBADGE			text	只要你擁有綠色徽章，		text	只要你拥有绿色徽章，	The EARTHBADGE	It is proof of your mastery as a Pokémon Trainer.	这是你成为了一名	きみが　いちにんまえの	ぼくは　ポケモン　トレーナーに
	line	makes #MON of			line	不管寶可夢等級多高，		line	不管宝可梦等级多高，	makes #MON of	With it, you can challenge the Pokémon League.	优秀宝可梦训练家的证明！	トレーナーに　なった　あかしだ！	なった　ばかり　だ!
	cont	any level obey!			cont	都會聽命於你！		cont	都会听命于你！	any level obey!				でも　かつ　じしん　あるよ!
					para	這是你成為了一名		para	这是你成为了一名	It is evidence of		这样一来，	これで　ポケモンリーグに	
	para	It is evidence of			line	優秀寶可夢訓練家的證明！		line	优秀宝可梦训练家的证明！	your mastery as a		你就能挑战宝可梦联盟了吧。	いどむ　ことが　できるだろう	
	line	your mastery as a			para	這樣一來，你就能挑戰		para	这样一来，你就能挑战	#MON trainer!				
	cont	#MON trainer!			line	寶可夢聯盟了吧。		line	宝可梦联盟了吧。	With it, you can				
					para	這個招式學習器就是……！		para	这个招式学习器就是……！	enter the #MON				
	para	With it, you can			line	為你準備的挑戰		line	为你准备的挑战	LEAGUE!				
	line	enter the #MON			cont	寶可夢聯盟的餞別之禮了！		cont	宝可梦联盟的饯别之礼了！	It is my gift for				
	cont	LEAGUE!			done			done		your #MON				
										LEAGUE challenge!				
	para	It is my gift for												
	line	your #MON												
	cont	LEAGUE challenge!												
	done													
														
_ReceivedTM27Text::				_ReceivedTM27Text::										
	text	<PLAYER> received			text	<PLAYER>從坂木那裡		text	<PLAYER>从谜之训练家	<PLAYER> received	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	TM27!@			line	得到了TM27！@		line	那里得到了@	a @	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	text_end				text_end			text_ram	wStringBuffer	wStringBuffer				
								text	！@	!@				
_TM27ExplanationText::				_TM27ExplanationText::				text_end						
	text_start				text_start			text_start			“...	我的秘密就是！	わたしの　ひみつ！	…　…　…
					para	招式學習器２７		para	招式学习器２７	TM27 is FISSURE!				わたしの　ひみつ…!
	para	TM27 is FISSURE!			line	是“地裂”！		line	是“地裂”！	It will take out	“My secrets!	我很擅长……模仿！	とくいな　もの……　ものまね！	とくいなもの　…　ものまね!
	line	It will take out			para	被引誘陷入地裂的話		para	被引诱陷入地裂的话	#MON with just		喜欢的宝可梦是……皮皮！	すきな　ポケモン……　ピッピ！	しゅみ　…　ぬいぐるみ!
	cont	#MON with just			line	就會被一擊打倒！		line	就会被一击打倒！	one hit!	“Skill: Mimicry!			すきなもの　…　ピッピ!
	cont	one hit!			cont	是最強的招式！		cont	是最强的招式！	I made it when I	Favorite Pokémon: Clefairy!	……不过因为它太少见，	……でも　めずらしい　から	…　…　…
