text/PewterGym.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_BrockPreBattleText::				_BrockPreBattleText::										
	text	I'm BROCK!			text	你來了啊！		text	你来了啊！	I'm BROCK!	The Pewter City Gym only allows Trainers who	不理解[VAR COLOR(0006)]属性相克[VAR COLOR(0000)]的训练家	ニビジム　では	そうか!
	line	I'm PEWTER's GYM			line	我是深灰市寶可夢道館的		line	我是深灰市宝可梦道馆的	I'm PEWTER's GYM	know [VAR COLOR(0006)]type matchups[VAR COLOR(0000)] to enter!	是没有资格进入深灰道馆的！	[VAR COLOR(0006)]タイプの　あいしょう[VAR COLOR(0000)]を	では　さっそく　はじめるか!
	cont	LEADER!			cont	館主小剛！		cont	馆主小刚！	LEADER!				あのな…　わしの　おきにいりの
					para	我擁有硬石頭般的毅力，		para	我拥有硬石头般的毅力，	I believe in rock	There are a few types that have an advantage	道馆馆主会派出[VAR COLOR(0006)]岩石属性[VAR COLOR(0000)]的宝可梦。	しっている　トレーナー　でないと	ギャロップがな…　…
	para	I believe in rock			line	我的寶可夢們也是一樣！		line	我的宝可梦们也是一样！	hard defense and	against the Gym Leader’s [VAR COLOR(0006)]Rock-type[VAR COLOR(0000)] Pokémon.	虽说能克制岩石属性的		…　でな…　が…
	line	hard defense and			cont	硬如頑石，堅忍不拔！		cont	硬如顽石，坚忍不拔！	determination!			はいる　ことを　みとめない！	…　…　かわいくてな…
	cont	determination!			para	沒錯！我所使用的		para	没错！我所使用的	That's why my	But for Trainers who have never challenged a	属性有好几种……		たまらん…　くう…
					line	都是岩石屬性的寶可夢！		line	都是岩石属性的宝可梦！	#MON are all	Gym before, we have them use either [VAR COLOR(0006)]Grass- [VAR COLOR(0000)]or		ジムリーダーの　つかう	…　さらに…　もう…
	para	That's why my			para	呵呵！明知會輸，		para	呵呵！明知会输，	the rock-type!		深灰道馆会请第一次	[VAR COLOR(0006)]いわタイプ[VAR COLOR(0000)]の　ポケモンに　ゆうりな	すごすぎ…　…　で…
	line	#MON are all			line	卻還是要向我挑戰嗎？		line	却还是要向我挑战吗？	Do you still want	[VAR COLOR(0006)]Water-type[VAR COLOR(0000)] Pokémon! You have to show me a	挑战道馆的训练家，		…　そう　おもうか…
	cont	the rock-type!			cont	這就是寶可夢訓練家的		cont	这就是宝可梦训练家的	to challenge me?			タイプは　いくつか　あるが……	どうして…　…　すき…
					cont	天性吧。		cont	天性吧。	Fine then! Show	[VAR COLOR(0006)]Grass- [VAR COLOR(0000)]or [VAR COLOR(0006)]Water-type[VAR COLOR(0000)] Pokémon if you want to	使用[VAR COLOR(0006)]草属性[VAR COLOR(0000)]或[VAR COLOR(0006)]水属性[VAR COLOR(0000)]的宝可梦！		…　はー!
	para	Do you still want			para	好吧！		para	好吧！	me your best!			ジムが　はじめての　トレーナーには	…　…　だきしめて…
	line	to challenge me?			line	你儘管上吧！		line	你尽管上吧！		face the Gym Leader!	想和道馆馆主对战的话，	[VAR COLOR(0006)]くさタイプ[VAR COLOR(0000)]か　[VAR COLOR(0006)]みずタイプ[VAR COLOR(0000)]の	ねるときも…
	cont	Fine then! Show			done			done				就给我看一下你的		…　じゃろ…　…
	cont	me your best!											ポケモンを　つかって　もらっている！	…　…　すばらし…!
	done											[VAR COLOR(0006)]草属性[VAR COLOR(0000)]或[VAR COLOR(0006)]水属性[VAR COLOR(0000)]的宝可梦吧！		…　うつくし…
													ジムリーダーと　たたかい　たければ	…　…　ありゃ!
_BrockPostBattleAdviceText::				_BrockPostBattleAdviceText::									[VAR COLOR(0006)]くさタイプ[VAR COLOR(0000)]か　[VAR COLOR(0006)]みずタイプ[VAR COLOR(0000)]の	もう　こんな　じかんか!
	text	There are all			text	在這個廣闊的世界裡			この　ひろい　せかいには		There are all kinds of people in this huge world	在这个广阔的世界里	この　ひろい　せかいには	この　ひろい　せかいには
