text/CeruleanBadgeHouse.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_CeruleanHouse2Text_74e77::				_CeruleanHouse2Text_74e77::										
	text	#MON BADGEs			text	只有能力達標的		text	只有能力达标的	#MON BADGEs	Only skilled Trainers can collect Gym Badges.	只有能力达标的宝可梦训练家	うでが　あがった	うでが　あがった
	line	are owned only by			line	寶可夢訓練家		line	宝可梦训练家	are owned only by		才能获得联盟徽章！	ポケモントレーナー　だけが　もらえる	ポケモントレーナーだけが　もらえる
	cont	skilled trainers.			cont	才能獲得寶可夢徽章！		cont	才能获得宝可梦徽章！	skilled trainers.	I see you have at least one.			ポケモン　バッジ
					para	看來你也有幾個徽章啊。		para	看来你也有几个徽章啊。	I see you have		看来你也有几个徽章啊。	リーグバッジ！	あなたも　いくつか　もってるね
	para	I see you have			para	那些徽章裡		para	那些徽章里	at least one.	May I tell you some interesting little bits of			その　バッジには
	line	at least one.			line	藏著驚人的秘密呢！		line	藏着惊人的秘密呢！	Those BADGEs have	trivia about those Badges?	你能听我唠叨一下	あなたも　いくつか　もってますね	すごい　ひみつが　あるのです
					prompt			prompt		amazing secrets!		联盟徽章的小知识吗？		
	para	Those BADGEs have											では　バッジについて　わたしの	
	line	amazing secrets!											ウンチク　かたっても　よいですか？	
	prompt													
														
_CeruleanHouse2Text_74e7c::				_CeruleanHouse2Text_74e7c::										
	text	Now then...			text	好了……		text	好了……	Now then...	Now then...	好了……	では……	
					para	８個聯盟徽章裡，		para	８个联盟徽章里，	Which of the 8				のこり　じかんが　なくなるか!
	para	Which of the 8			line	我該講哪個好呢？		line	我该讲哪个好呢？	BADGEs should I	Which of the eight Badges should I describe?	８个联盟徽章里，	リーグバッジ　８つの　うち	サファりボールが　なくなったら
	line	BADGEs should I			done			done		describe?		我该讲哪个好呢？	どれに　ついて　はなしましょう？	メガホンで　しらせます!
	cont	describe?												では…!　ぐっど　らっく!
	done													
														
_CeruleanHouse2Text_74e81::				_CeruleanHouse2Text_74e81::										
	text	Come visit me any-			text	你要是改變主意了，		text	你要是改变主意了，	Come visit me any	Come visit me anytime you wish.	你要是改变主意了，	はなしを　ききたく　なったら	はなしを　ききたく　なったら
	line	time you wish.			line	隨時都可以來問我。		line	随时都可以来问我。	time you wish.		随时都可以来问我。	また　いらっしゃい	また　いらっしゃい
	done				done			done						
														
_CeruleanHouse2Text_74e96::				_CeruleanHouse2Text_74e96::										
