text/PokemonTower6F.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_PokemonTower2Text_60c1f::				_PokemonTower2Text_60c1f::										
	text	The GHOST was the			text	原來幽靈的原形……		text	原来幽灵的原形……	The GHOST was the	The true form of the ghost was...	原来幽灵的原形……	ゆうれいの　しょうたいは……	ゆうれいの　しょうたいは…
	line	restless soul of			line	是卡拉卡拉的母親		line	是卡拉卡拉的母亲	restless soul of	the restless spirit of Cubone’s mother!			カラカラの　おかあさんの
	cont	CUBONE's mother!			cont	四處徘徊的靈魂！		cont	四处徘徊的灵魂！	CUBONE's mother!		是卡拉卡拉的母亲	カラカラの　おかあさんの	まよえる　たましい　だった!
	done				done			done				四处徘徊的灵魂！	まよえる　たましい　だった！	
														
_PokemonTower2Text_60c24::				_PokemonTower2Text_60c24::										
	text	The mother's soul			text	四處徘徊的靈魂變回了		text	四处徘徊的灵魂变回了	The mother's soul	The mother’s spirit was calmed, returning to its	四处徘徊的灵魂变回了	やさしい　カラカラの　おかあさんに	やさしい　カラカラの　おかあさんに
	line	was calmed.			line	卡拉卡拉溫柔的母親……		line	卡拉卡拉温柔的母亲……	was calmed.	kind and gentle nature.	卡拉卡拉温柔的母亲……	もどった　たましいは	もどった　たましいは
					para	接著安詳地升上天空……		para	接着安详地升上天空……	It departed to				ぶじ　てんに　のぼって…
	para	It departed to			line	就這樣消失了……		line	就这样消失了……	the afterlife!	It departed to the afterlife...and disappeared.	接着安详地升上天空……	ぶじ　てんに　のぼって……	…　…きえて　いきました
	line	the afterlife!			done			done				就这样消失了……	……きえて　いきました	
	done													
														
_PokemonTower6BattleText1::				_PokemonTower6BattleText1::										
	text	Give...me...			text	……血……把……你的血！		text	……血……把……你的血！	Give...me...	Electrode! Use Tackle! Now!	顽皮雷弹！那里要用撞击！	マルマイン！　そこで　たいあたりっ！	マルマイン!　そこで　たいあたりっ!
	line	blood...			line	……給……我……！		line	……给……我……！	blood...		给你跪了……又失败！	……がっくし　また　ダメ！	…　がっくし　また　ダメ!
	done				done			done			D’aww... Failed again?			
														
_PokemonTower6EndBattleText1::				_PokemonTower6EndBattleText1::										
	text	Groan!			text	……唔。		text_start			Trainers’ School:	这里是训练家学校。	ここは　トレーナーズスクール	ここは　ポケモン　りーグ
	prompt				prompt			done			Get Schooled in School!	好好学习，天天向上！	まなびや　で　まなべや！	しょうめん　ゲート
														4ャよひ
