text/VermilionGym.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_LTSurgePreBattleText::				_LTSurgePreBattleText::										
	text	Ten-hut! Welcome			text	Welcome to			ウエルカム　トウー　クチバジム!		Hahaha! You’ve got big and brassy nerves to	哈哈～！	ハッハー！	ちょっと　まったあ!
	line	to VERMILION GYM!			line	枯葉道館！					take me on with your puny power!	就凭you那一点点的power，	そんな　ハンパな　パワーで	そんな　いそいで　どこに　いく?
														
	para	Will you look at			para	嗨！Baby！You就是			ハーイ　べイビー			居然想向me发起挑战，	ミーに　しょうぶを　いどむとは	
	line	that, a pint-size			line	challenger嗎？			ユーが　チャレンジャー?			Very有胆量啊！	いい　どきょう　ネー！	
	cont	challenger!												
														
	para	Hahaha! You've got			para	哈哈～！就憑you			ハッハー!					
	line	big and brassy			line	那一點點的power，			そんな　ハンパな　パワーで					
	cont	nerves to take me			cont	居然想向me發起挑戰，			ミーに　しょうぶを　いどむとは					
	cont	on with your puny			cont	Very有膽量啊！			いい　どきょう　ネー!					
	cont	power!												
														
	para	A #MON battle			para	寶可夢對戰			ポケモン　バトル					
	line	is war! I'll show			line	可沒有那麼easy～！			そんなに　あまく　ナーイ!					
	cont	you, civilian!												
														
	para	I'll shock you			para	Me可以讓everyone			みんな　ビりビり　シビれさせて					
	line	into surrender!			line	渾身麻麻的feel！			あげ　マース!					
	done				done									
														
_LTSurgePostBattleAdviceText::				_LTSurgePostBattleAdviceText::										
	text	A little word of			text	Hey！還要給you		text	Hey！还要给you	A little word of	And a little word of advice, kid!	Hey！	ヘイ！	へイ!
	line	advice, kid!			line	一個小建議！		line	一个小建议！	advice, kid!		还要给you一个小建议！	それから　ユーに　アドバイス！	それから　ユーに　アドバイス!
					para	Electric power		para	Electric power	Electricity is	Electric-type moves are sure powerful!			エレクトりック　パワー
	para	Electricity is			line	麻麻的很強力～！		line	麻麻的很强力～！	sure powerful!		Electric power	エレクトリック　パワー	ビりビり　つよいネー!
	line	sure powerful!			para	不過面對地面屬性時，		para	不过面对地面属性时，	But, it's useless	But remember that they’ll get sucked right up	麻麻的很强力～！	ビリビリ　つよいネー！	でも　じめん　タイプには
					line	Power會被吸收走，		line	Power会被吸收走，	against ground-	by Ground-type Pokémon!			パワー　すいとられて　しまって
	para	But, it's useless			cont	完全useless唷～！		cont	完全useless唷～！	type #MON!		不过面对地面属性时，	でも　じめん　タイプには	ぜんぜん　きかないヨー!
	line	against ground-			done			done			Those moves are useless against them!	Power会被吸收走，	パワー　すいとられて　しまって	
	cont	type #MON!												
	done											完全useless唷～！	ぜんぜん　きかないヨー！	
														
_LTSurgeThunderBadgeInfoText::				_LTSurgeThunderBadgeInfoText::										
	text	The THUNDERBADGE			text	持有橙色徽章，		text	持有橙色徽章，	The THUNDERBADGE	And that’s not all!	And！	アーンド！	…　ポケモンの　シナりオだ!
	line	cranks up your			line	You的寶可夢		line	You的宝可梦	cranks up your				これは　エンディングだ!
	cont	#MON's SPEED!			cont	Speed up！		cont	Speed up！	#MON's SPEED!	You’re special, kid!	给拥有special实力的you，	スペシャルな　つよさの　ユーに	いまは　みないで　おこう…!
					para	And！可以在戰鬥外		para	And！可以在战斗外	It also lets your	Take this!	这是me的一点心意！	これは　ミーの　きもちネ！	
	para	It also lets your			line	使用招式“飛翔”了。		line	使用招式“飞翔”了。	#MON FLY any				
	line	#MON FLY any-			para	You're special,		para	You're special,	time, kid!				
	cont	time, kid!			line	這是me的一點心意！		line	这是me的一点心意！	You're special,				
					done			done		kid! Take this!				
	para	You're special,												
	line	kid! Take this!												
	done													
														
_ReceivedTM24Text::				_ReceivedTM24Text::										
	text	<PLAYER> received			text	<PLAYER>從馬志士那裡		text	<PLAYER>从谜之训练家	<PLAYER> received	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	@			line	得到了@		line	那里得到了@	a @	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	text_ram	wStringBuffer			text_ram	wStringBuffer		text_ram	wStringBuffer	wStringBuffer				
	text	!@			text	！@		text	！@	!@				
	text_end				text_end			text_end						
														
_TM24ExplanationText::				_TM24ExplanationText::										
	text_start				text_start			text_start			TM36 contains the electrifying Thunderbolt!	招式学习器36是	わざマシン３６は	
					para	招式學習器２４是		para	招式学习器２４是	TM24 contains		电属性麻麻十万伏特！	でんき　ビリビリ　１０まんボルト	 {5C} 24は
	para	TM24 contains			line	電屬性麻麻十萬伏特！		line	电属性麻麻十万伏特！	THUNDERBOLT!	Teach it to an Electric-type Pokémon for some			でんき　ビりビり　10まんボルト
	line	THUNDERBOLT!			para	Please教給		para	Please教给	Teach it to an	extra shock value!	Please教给electric宝可梦噢！	エレクトリック　ポケモンに	エレクトりック　ポケモンに
					line	Electric寶可夢喔！		line	electric宝可梦噢！	electric #MON!			おしえて　くだサーイ！	おしえて　くだサーイ!
	para	Teach it to an			done			done						
	line	electric #MON!												
	done													
														
