text/GameCorner.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_CeladonGameCornerText1::				_CeladonGameCornerText1::										
	text	Welcome!			text	歡迎光臨！		text	欢迎光临！	Welcome!	If a Support Trainer battles alongside you,	和帮手训练家一起战斗时，	サポートトレーナーに	 {RIVAL} 『あーッ!　 {PLAYER} !
					para	可以在隔壁使用		para	可以在隔壁使用	You can exchange	you can have two Pokémon on your side to take		いっしょに　たたかって　もらえば	ポケモン　りーグに　いくのか?
	para	You can exchange			line	在遊戲中獲得的代幣		line	在游戏中获得的代币	your coins for		可以在对手派出１只宝可梦的情况下		やめとけ!
	line	your coins for			cont	來交換喜歡的獎品呢！		cont	来交换喜欢的奖品呢！	fabulous prizes	on one opposing Pokémon!	用２只宝可梦与其对抗！	あいての　ポケモン　１ぴきに	おまえ　どうせ
	cont	fabulous prizes			done			done		next door.			２ひきで　たいこう　できる！	バッジ　もってねーだろ?
	cont	next door.									You can have the upper hand!	这样对我方有利极了！		みはりの　おっさんが
	done												すっごい　ゆうり！	とおして　くれねーよ!
														…　それよりさあ!
_CeladonGameCornerText_48d22::				_CeladonGameCornerText_48d22::										おまえの　ポケモン
	text	Welcome to ROCKET			text	歡迎光臨！		text	欢迎光临！	Welcome to ROCKET	Wow, I think you’re plenty strong already!	你这不是很强大了嘛！	もう　じゅーぶん　つよいじゃん！	
	line	GAME CORNER!			line	這裡是火箭遊戲城。		line	这里是火箭游戏城。	GAME CORNER!				 {5C} 31の　なかは
					para	需要遊戲用代幣嗎？		para	需要游戏用代币吗？	Do you need some	So, what do you say? Don’t you think it’s time	差不多应该考虑一下	そろそろ　わたしの　ポケモンに	わたしの　だいすきな　ものまね!
	para	Do you need some			para	50枚代幣		para	50枚代币	game coins?	you become one of my Pokémon?	和超梦一起	なって　くれても　よくない？	あなたの　すきな　ポケモンに
	line	game coins?			line	需要¥1000。		line	需要¥1000。	It's ¥1000 for 50				つかって　あげて!@ゼ@
					done			done		coins. Would you	Along with Mewtwo, of course!	来做我的宝可梦吧！	ミュウツーと　いっしょに！	
	para	It's ¥1000 for 50								like some?				
	line	coins. Would you												
	cont	like some?												
	done													
														
_CeladonGameCornerText_48d27::				_CeladonGameCornerText_48d27::										
	text	Thanks! Here are			text	好的！多謝惠顧！		text	好的！多谢惠顾！	Thanks! Here are	There are Pokémon magazines on the shelves.	这里陈列着宝可梦的杂志！	ポケモンざっしが　ならんでる！	　ぽ　ぽ　
	line	your 50 coins!			line	50枚代幣請拿好！		line	50枚代币请拿好！	your 50 coins!				
	done				done			done			And Pokémon notebooks...	……宝可梦手册	……ポケモンてちょう	
														
_CeladonGameCornerText_48d2c::				_CeladonGameCornerText_48d2c::							And Pokémon graphs, too!	……宝可梦图表	……ポケモングラフ	
	text	No? Please come			text	……不需要嗎！		text	……不需要吗！	No? Please come	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
	line	play sometime!			line	那麼請以後再來吧！		line	那么请以后再来吧！	play sometime!	Come on!	你有宝可梦的吧？	きみは　ポケモン　もってるな？	きみは　ポケモン　もってるな?
	done				done			done						しょうぶ　しようぜ!
											Let’s battle ’em!	我们来对战！	しょうぶ　しようぜ！	
_CeladonGameCornerText_48d31::				_CeladonGameCornerText_48d31::										
	text	You can't afford			text	你的錢不夠哦！		text	你的钱不够哦！	You can't afford	PRESIDENT: You can’t buy that anywhere.	社长：这是大师球！	しゃちょう『どこにも　うってない	だけに…!
	line	the coins!			done			done		the coins!	It’s our secret prototype, the Master Ball.	它是我们秘密研发中的样品，	ひみつの　しさくひん	いい　おはなしが　ありまして
	done													ひみつの　ポケモン　コイキングが
												去哪里都买不到喔！	マスターボール！	なんと　たったの　500円!
_CeladonGameCornerText_48d36::				_CeladonGameCornerText_48d36::										どうだい　かうかね?
	text	Oops! Your COIN			text	哎喲……！		text	哎哟……！	Oops! Your COIN	This Pokémon Gym is always closed...	不管什么时候来，	いつ　きても	いつ　きても
	line	CASE is full.			line	代幣盒已滿了！		line	代币盒已满了！	CASE is full.		这里的道馆总是关着门……	この　ポケモンジムは　しまっとる	この　ポケモン　ジムは　しまっとる
	done				done			done			I wonder who the Gym Leader is...			いったい　どんな　ヤツが
												不知道这里的馆主	いったい　どんな　ヤツが	りーダーを　しとるんじゃろか?
_CeladonGameCornerText_48d3b::				_CeladonGameCornerText_48d3b::								究竟是怎样的家伙啊？	リーダーを　しとるんじゃろか？	
	text	You don't have a			text	咦？你沒有		text	咦？你没有	You don't have a	You don’t have enough dough.	你啊……	アナタさま……　さきだつ　ものが	…　おとくな　けいじばん!
	line	COIN CASE!			line	能裝代幣的代幣盒哦！		line	能装代币的代币盒哦！	COIN CASE!		最最重要的东西好像不太够噢？	たりませんよ？	ひとの　ポケモンは　ひとの　もの!
	done				done			done			...Dough means money, kid.			やせいの　ポケモンに　だけ
												最最重要的东西……	さきだつ　もの　とは	モンスターボールを　なげて
_CeladonGameCornerText3::				_CeladonGameCornerText3::								当然就是指钱咯！	……おかねの　こと　です	つかまえよう!
	text	Keep this quiet.			text	……我只在這裡說……		text	……我只在这里说……	Keep this quiet.	It’s a marvelous invention, if I do say so myself!	……我自己都觉得这发明很是伟大！	……われながら　すごい　はつめい！	むずかしい　はなしは
					para	這家遊戲城據說		para	这家游戏城据说	It's rumored that	It’s not an exaggeration to say that this is	称它为[VAR COLOR(0006)]秘术[VAR COLOR(0000)]都毫不为过！	[VAR COLOR(0006)]ヒジュツ[VAR COLOR(0000)]と　いっても　もうしぶんない	きみに　いっても　わからないよ
	para	It's rumored that			line	是火箭隊開的店……		line	是火箭队开的店……	this place is run				ゲへ
	line	this place is run			cont	大家都這麼說……		cont	大家都这么说……	by TEAM ROCKET.	a [VAR COLOR(0006)]Secret Technique[VAR COLOR(0000)]!			
	cont	by TEAM ROCKET.			done			done						
	done													
														
_CeladonGameCornerText4::				_CeladonGameCornerText4::										
	text	I think these			text	根據位置的不同，好像		text	根据位置的不同，好像	I think these	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	machines have			line	也存在容易中獎的老虎機。		line	也存在容易中奖的老虎机。	machines have	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	cont	different odds.			done			done		different odds.				…　シルフ　カンパニー
