text/WardensHouse.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_WardenGibberishText1::				_WardenGibberishText1::										
	text	WARDEN: Hif fuff			text	園長：呼好哈！		text	园长：呼好哈！	WARDEN: Hif fuff	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	hefifoo!			line	嚯的哈呀嚎呼噠吶！		line	嚯的哈呀嚎呼哒呐！	hefifoo!	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
					para	咻以啦，		para	咻以啦，	Ha lof ha feef ee				…　シルフ　カンパニー
	para	Ha lof ha feef ee			line	吧喔咿嚇哈！		line	吧喔咿吓哈！	hafahi ho. Heff		……西尔佛公司	……シルフカンパニー	
	line	hafahi ho. Heff			done			done		hee fwee!				
	cont	hee fwee!												
	done													
														
_WardenGibberishText2::				_WardenGibberishText2::										
	text	Ah howhee ho hoo!			text	噎噎以哈！		text	噎噎以哈！	Ah howhee ho hoo!	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	Eef ee hafahi ho!			line	哈呀咻嗨熟咻嚎毀互哈！		line	哈呀咻嗨熟咻嚎毁互哈！	Eef ee hafahi ho!	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	done				done			done						…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_WardenGibberishText3::				_WardenGibberishText3::										
	text	Ha? He ohay heh			text	以嚯哈？		text	以嚯哈？	Ha? He ohay heh	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	ha hoo ee haheh!			line	喚吶喚吶……		line	唤呐唤呐……	ha hoo ee haheh!	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	done				done			done						…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_WardenTeethText1::				_WardenTeethText1::										
	text	<PLAYER> gave the			text	園長從<PLAYER>那裡		text	园长从<PLAYER>那里	<PLAYER> gave the	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
