text/FuchsiaGym.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_KogaBeforeBattleText::				_KogaBeforeBattleText::										
	text	KOGA: Fwahahaha!			text	阿桔：……哈！哈！哈！		text	阿桔：……哈！哈！哈！	KOGA: Fwahahaha!	A mere child like you dares to challenge me?	像你这样的小孩子，	こわっぱ　ごときが	きびしい　たたかいを　つづけて
					para	像你這樣的小孩子，		para	像你这样的小孩子，	A mere child like	The very idea makes me shiver with mirth!	居然想对在下发起挑战……	せっしゃに　たたかいを　いどむとは	ほんとうの　つよさが　みに　つくわ
	para	A mere child like			line	居然想對在下發起挑戰……		line	居然想对在下发起挑战……	you dares to				
	line	you dares to			cont	簡直是可笑至極！		cont	简直是可笑至极！	challenge me?	Very well, I shall show you true terror as a	简直是可笑至极！	かたはら　いたいで　ござる！	
	cont	challenge me?			para	……在毒中自然滅亡！		para	……在毒中自然灭亡！	Very well, I	ninja master!			
					line	在睡眠中陷入永眠。		line	在睡眠中陷入永眠。	shall show you				
	para	Very well, I			para	……就讓你見識一下		para	……就让你见识一下	true terror as a				
	line	shall show you			line	忍術的極致之處吧！		line	忍术的极致之处吧！	ninja master!				
	cont	true terror as a			done			done		You shall feel				
	cont	ninja master!								the despair of				
										poison and sleep				
	para	You shall feel								techniques!				
	line	the despair of												
	cont	poison and sleep												
	cont	techniques!												
	done													
														
_ReceivedSoulBadgeText::				_ReceivedSoulBadgeText::										
	text	Humph!			text	嗯……！		text	嗯……！	Humph!	Hmph!	嗯……！	ふん……！	ふん!
	line	You have proven			line	你可真有一手。		line	你可真有一手。	You have proven	You have proven your worth!	你可真有一手。	おぬし　やるで　ござるな	れいぎを　しらんよ　きみは
	cont	your worth!			para	喂！		para	喂！	your worth!				
					line	收下這粉紅徽章吧！		line	收下这粉红徽章吧！	Here! Take the				
	para	Here! Take the			prompt			prompt		SOULBADGE!				
	line	SOULBADGE!												
	prompt													
														
_KogaPostBattleAdviceText::				_KogaPostBattleAdviceText::										
	text	When afflicted by			text	“劇毒”可以使對手		text	“剧毒”可以使对手	When afflicted by	When hit with Toxic’s poisonous effects,	“剧毒”可以使对手在中毒后	どくどくは　どくを　あびたら	どくどくは　どくを　あびたら
	line	TOXIC, #MON			line	在中毒後，每回合受到		line	在中毒后，每回合受到	TOXIC, #MON	a Pokémon will take more and more damage	每回合受到更大的中毒伤害！	１ターン　ごとに　どんどん	1ターン　ごとに　どんどん
	cont	suffer more and			cont	更大的中毒傷害！		cont	更大的中毒伤害！	suffer more and				ダメージが　おおきく　なる!
	cont	more as battle			para	這是個能讓對手		para	这是个能让对手	more as battle	with each turn that passes in battle!	这是个能让对手	ダメージが　おおきく　なる！	これは　あいてに
	cont	progresses!			line	感受到恐怖的招式。		line	感受到恐怖的招式。	progresses!		感受到恐怖的招式。		きょうふを　あたえる　わざで　ござる
					done			done		It will surely	It will surely terrorize your opponent!		これは　あいてに	
	para	It will surely								terrorize foes!			きょうふを　あたえる　わざで　ござる	
	line	terrorize foes!												
	done													
														
_KogaSoulBadgeInfoText::				_KogaSoulBadgeInfoText::										
