text/CinnabarGym.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_BlainePreBattleText::				_BlainePreBattleText::										
	text	Hah!			text	嘿～～～！		text	嘿～～～！	Hah!	There’s an email on the screen of the PC...	电脑里	パソコンに	 {5B} に
					para	我就是熊熊燃燒的男人——		para	我就是熊熊燃烧的男人——	I am BLAINE! I		收到了一封邮件！	メールが　とどいてる！	でんしメールが　とどいてる!
	para	I am BLAINE! I			line	紅蓮島寶可夢道館的夏伯！		line	红莲岛宝可梦道馆的夏伯！	am the LEADER of	“Articuno, Zapdos, and Moltres are all			…　…　…
	line	am the LEADER of			para	我的寶可夢全部都是		para	我的宝可梦全部都是	CINNABAR GYM!	legendary bird Pokémon. This we know.	火焰鸟、闪电鸟和急冻鸟	ファイヤー　サンダー　フリーザーは	でんせつの　とりポケモンは
	cont	CINNABAR GYM!			line	經歷過烈火燃燒		line	经历过烈火燃烧	My fiery #MON		是传说的鸟宝可梦。	でんせつの　とりポケモンです	3しゅるい…　ファイヤー
					cont	重重淬鍊的勇者！		cont	重重淬炼的勇者！	will incinerate	“Yet their exact whereabouts are still unknown.			サンダー　フりーザー…
	para	My fiery #MON			para	嘿～～～！		para	嘿～～～！	all challengers!	We will be investigating the Cerulean Cave next	可是现在依然没有人知晓	しかし　どこに　いるのか	しかし　どこに　いるのか
	line	will incinerate			line	灼傷藥都準備好了吧！		line	灼伤药都准备好了吧！	Hah! You better		究竟能在哪里遇到它们。	まだ　わかって　ません	まだ　わかって　ません
	cont	all challengers!			done			done		have BURN HEAL!	and will report back accordingly.			こんど　ハナダ　どうくつに
												接下来我们将	こんど　ハナダのどうくつに	ちょうさに　いきます
	para	Hah! You better									       — The Pokémon Research Team”	前去华蓝洞窟调查。	ちょうさに　いきます	…　まずは　ほうこく　まで
	line	have BURN HEAL!												ポケモン　ちょうさ　たい
	done											总之先报告到这里。	まずは　ほうこく　まで	…　…　…
												……宝可梦调查队敬上	……ポケモン　ちょうさ　たい	
