text/CinnabarLabFossilRoom.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_Lab4Text_75dc6::				_Lab4Text_75dc6::										
	text	Hiya!			text	是囉～！		text	是啰～！	Hiya!	Hiya!	是啰～！	はいー！	はいー!
					para	我是熊厲害的博士的囉！		para	我是熊厉害博士的啰！	I am important		我是熊厉害博士的啰！		わたしは　エラーイ　はかせ
	para	I am important			para	我致力於研究		para	我致力于研究	doctor!	I am an important doctor.		わたしは　エラーイ　はかせ	いつも　めずらしい　カセキ
	line	doctor!			line	罕見的寶可夢化石的囉！		line	罕见的宝可梦的啰！	I study here rare	Yes, very well known indeed.	我致力于研究		けんきゅう　してる　アルよ!
					para	你！		para	你啰！	#MON fossils!		罕见的宝可梦的啰！	いつも　めずらしい　カセキ	あなた!
	para	I study here rare			line	有沒有很厲害的化石的囉？		line	有没有了不得的化石的啰？	You! Have you a	Here, I study rare Pokémon Fossils.		けんきゅう　してる　アルよ！	いい　カセキ　もってるか?
	line	#MON fossils!			prompt			prompt		fossil for me?		你啰！		
											Hey!	有没有了不得的化石的啰？	あなた！	
	para	You! Have you a									Do you have a Fossil for me?		いい　カセキ　もってるか？	
	line	fossil for me?												
	prompt													
														
_Lab4Text_75dcb::				_Lab4Text_75dcb::										
	text	No! Is too bad!			text	你沒有的囉……		text	你没有的啰……	No! Is too bad!	No!	你没有的啰……	もってない　アルね……	もってない　アルね…
	done				done			done			Too bad!			
														
_Lab4Text_75dd0::				_Lab4Text_75dd0::										
	text	I take a little			text	需要花一點時間喔！		text	需要花一点时间哦！	I take a little	TM57 is for the move Pay Day.	招式学习器57的内容是	わざマシン５７の　なかみは	…　おとくな　けいじばん!
	line	time!			para	你就在這附近稍微		para	你就在这附近稍微	time!		招式“聚宝功”！	ネコにこばん！	ポケモンには　たいりょくの　ほか
					line	到處走走吧——！		line	溜达溜达吧——！	You go for walk a	It’s a move that’ll scatter money around that			わざを　くりだす　げんきの　もと
	para	You go for walk a			done			done		little while!	you can pick up later for a little extra	用了这个招式，你就可以捡起	おかねが　ちらばって　ひろえる	パワーポイントが　あります
	line	little while!										散落在地上的钱，小赚一把了！	ちょっと　おとくな　わざ　だよ！	わざ　ごとの　パワーポイントが
	done										pocket money!			なくなった　ときも
														ポケモンセンターで　やすませて!
_Lab4Text_75dd5::				_Lab4Text_75dd5::										
