text/CopycatsHouse2F.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_CopycatsHouse2FText_5ccd4::				_CopycatsHouse2FText_5ccd4::										
	text	<PLAYER>: Hi! Do			text	<PLAYER>：呀！你好！		text	<PLAYER>：呀！你好！	<PLAYER>: Hi! Do	[VAR 01CD(0000)]: Hi!	[VAR TRNAME(0000)]：唷！初次见面。	[VAR TRNAME(0000)]『ようっ　はじめまして	 {PLAYER} 『やあ!　こんにちは!
	line	you like #MON?			line	你也喜歡寶可夢嗎？		line	你也喜欢宝可梦吗？	you like #MON?	Do you like Pokémon?	你也在训练宝可梦吗？	きみ　ポケモン　やってるー？	きみ　ポケモン　すきかい?
					para	<PLAYER>：不是說我，		para	<PLAYER>：不是说我，	<PLAYER>: Uh no, I				 {PLAYER} 『ぼく　じゃなくって
	para	<PLAYER>: Uh no, I			line	我是在問你啊！		line	我是在问你啊！	just asked you.	[VAR 01CD(0000)]: Uh, no, I just asked you.	[VAR TRNAME(0000)]：不，不是说我，	[VAR TRNAME(0000)]『や　ぼく　じゃなくて	きみに　きいてるんだ　けど
	line	just asked you.			para	<PLAYER>：		para	<PLAYER>：	<PLAYER>: Huh?		我是在问你啊！	そっちの　はなし　だってば！	 {PLAYER} 『…　えー　なんだよ!
					line	……算了算了，		line	……算了算了，	You're strange!	[VAR 01CD(0000)]: Huh?			へンな　やつ　だなあ!
	para	<PLAYER>: Huh?			cont	不該跟你這個怪人搭話的！		cont	不该跟你这个怪人搭话的！	COPYCAT: Hmm?	You’re strange!	[VAR TRNAME(0000)]：……算了算了，	[VAR TRNAME(0000)]『……なんだよ　もー！	モノマネむすめ『…　なに?
	line	You're strange!			para	模仿少女：……幹嘛？		para	模仿少女：……干嘛？	Quit mimicking?		不该跟你这个怪人搭话的！	ヘンな　やつに　はなしかけちゃった！	ひとの　マネ　すんなって?
					line	你叫我不要隨便模仿別人？		line	你叫我不要随便模仿别人？	But, that's my	COPYCAT: Hmm? Quit mimicking?			だって　あたし　
	para	COPYCAT: Hmm?			para	可惜我的興趣愛好		para	可惜我的兴趣爱好	favorite hobby!	But that’s my favorite hobby!	模仿少女：……干嘛？	モノマネむすめ『……なに？	ものまね　しゅみ　なんだ　もん!
	line	Quit mimicking?			line	就是模仿別人呀！		line	就是模仿别人呀！			你叫我不要随便模仿别人？	ひとの　マネ　すんなって？	
					prompt			prompt						
	para	But, that's my										可惜我的兴趣爱好	だって　あたし　	
	line	favorite hobby!										就是模仿别人呀！	ものまね　しゅみ　なんだ　もん！	
	prompt													
														
_TM31PreReceiveText::				_TM31PreReceiveText::										
