text/SaffronGym.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_SabrinaPreBattleText::				_SabrinaPreBattleText::										
	text	I had a vision of			text	……你果然來了！		text	……你果然来了！	I had a vision of	Shh! Listen, I need to share a	嘘……！	しー！	しー!
	line	your arrival!			line	其實我早有預感！		line	其实我早有预感！	your arrival!	secret with someone.	偷偷告诉你，	ないしょ　だけど　このコハク	ないしょ　だけど　このコハク
					para	自打我隨手把湯匙一扔		para	自打我随手把汤匙一扔	I have had psychic				ポケモンの　いでんしが　のこってると
	para	I have had psychic			line	就讓它彎曲的那一天起……		line	就让它弯曲的那一天起……	powers since I	I think that this chunk of amber	我推测这个琥珀里面	ポケモンの　いでんしが　のこってると	おれは　にらんでるんだ!
	line	powers since I			cont	我，就成為了一個		cont	我，就成为了一个	was a child.	contains Pokémon DNA!	留有宝可梦的遗传基因！	おれは　にらんでるんだ！	もし　いきかえらせたら
	cont	was a child.			cont	超能力少女。		cont	超能力少女。	I first learned				ポケモンの　いちだい　はっけんだ!
					para	雖然我不喜歡戰鬥，		para	虽然我不喜欢战斗，	to bend spoons	It would be a shattering scientific	如果能让它复活，	もし　いきかえらせたら	でも　ここの　なかまは
	para	I first learned			line	但既然你這麼希望了……		line	但既然你这么希望了……	with my mind.	breakthrough if Pokémon could be	那简直就是宝可梦的一大发现！	ポケモンの　いちだい　はっけんだ！	おれの　いうこと　しんじないんだ
	line	to bend spoons			cont	我便讓你見識一下		cont	我便让你见识一下	I dislike fight-				⋯⋯それで
	cont	with my mind.			cont	我的力量！		cont	我的力量！	ing, but if you	resurrected from it.	可惜这里的同事们	でも　ここの　なかまは	きみに　たのみが　ある!
					done			done		wish, I will show		没人把我说的话当回事。	おれの　いうこと　しんじないんだ	これを　どこかの
	para	I dislike fight-								you my powers!	But my colleagues just ignore			けんきゅうじょに　もって　いって
	line	ing, but if you									what I have to say.	所以啊……	……それで	しらべて　ほしいんだ!
	cont	wish, I will show										我需要你的帮助！	きみに　たのみが　ある！	
	cont	you my powers!									So I have a favor to ask!			
	done											麻烦你拿着这个琥珀，	これを　どこかの	
											I want you to get this examined at	找一家研究所，	けんきゅうじょに　もって　いって	
_ReceivedMarshBadgeText::				_ReceivedMarshBadgeText::							a Pokémon Lab somewhere.			
	text	I'm			text	我竟然輸了……！		text	我竟然输了……！	I'm	This loss shocks me!	我竟然输了……！	まける　なんて……！	まける　なんて…!
	line	shocked!			line	太讓人吃驚了！		line	太让人吃惊了！	shocked!	But a loss is a loss...	太让人吃惊了！	とても　ショック！	とても　ショック!
	cont	But, a loss is a			cont	但輸了就是輸了……！		cont	但输了就是输了……！	But, a loss is a				でも　まけは　まけ…!
	cont	loss.			para	我承認		para	我承认	loss.	I admit I didn’t work hard enough to win.	但输了就是输了……！	でも　まけは　まけ……！	わたしの　しょうぶの　あまさを
					line	是我太小看對戰了！		line	是我太小看对战了！	I admit I didn't				いさぎよく　みとめるわ!
	para	I admit I didn't			para	為了證明你的勝利，		para	为了证明你的胜利，	work hard enough		我承认是我太小看对战了！	わたしの　しょうぶの　あまさを	かった　あかしに
	line	work hard enough			line	這枚金色徽章就送給你了。@		line	这枚金色徽章就送给你了。@	to win!			いさぎよく　みとめるわ！	ゴールド　バッジを
	cont	to win!			text_end			text_end		You earned the				あなたに　さしあげ　ましょう@ヅギ@
										MARSHBADGE!@				
	para	You earned the												
	line	MARSHBADGE!@												
	text_end													
														
_SabrinaPostBattleAdviceText::				_SabrinaPostBattleAdviceText::										
	text	Everyone has			text	超能力並不是		text	超能力并不是	Everyone has	Psychic power isn’t something that only a few	超能力并不是	ちょうのうりょくは　かぎられた	ちょうのうりょくは　かぎられた
	line	psychic power!			line	只屬於特定人物的能力！		line	只属于特定人物的能力！	psychic power!	people have.	只属于特定人物的能力！	ひとの　ちから　では　ないわ！	ひとの　ちから　では　ないわ!
	cont	People just don't			cont	無論是誰都擁有超能力！		cont	无论是谁都拥有超能力！	People just don't				だれでも　もってるのよ!
	cont	realize it!			cont	他們只是沒有意識到而已。		cont	他们只是没有意识到而已。	realize it!	Everyone has psychic power.	无论是谁都拥有超能力！	だれでも　もってるのよ！	ただ　それに　きが　つかない　だけ
	done				done			done			People just don’t realize it.			
												他们只是没有意识到而已。	ただ　それに　きが　つかない　だけ	
_KogaMarshBadgeInfoText::				_KogaMarshBadgeInfoText::										
	text	The MARSHBADGE			text	有了金色徽章，		text	有了金色徽章，	The MARSHBADGE	MISTY: I heard an interesting rumor!	小霞：我听到传闻了！听说你	カスミ『うわさは　きいたわ！	 {next} 
	line	makes #MON up			line	等級在７０以內的寶可夢，		line	等级在７０以内的宝可梦，	makes #MON up	Not only did you and that other kid defeat	和另一个孩子不但战胜了火箭队，	きみや　あのこが	@
	cont	to L70 obey you!			cont	都會乖乖聽話！		cont	都会乖乖听话！	to L70 obey you!				 {PLAYER}  {RIVAL} ポケモン
					para	更強的寶可夢		para	更强的宝可梦	Stronger #MON	those Team Rocket guys, but you also	还互相争夺了联盟冠军是吧。	ロケットだんを　たおして	…
	para	Stronger #MON			line	還是會不服氣不搭理你，		line	还是会不服气不搭理你，	will become wild,				
	line	will become wild,			cont	把你的話當成耳旁風！		cont	把你的话当成耳旁风！	ignoring your	met again in the battle for Champion.	……我啊！简直是	チャンピオンを　きそい　あったって	 {TARGET}  {USER}  {5B}  {5C} トレーナーロケットだん
	cont	ignoring your			para	所以要注意別把		para	所以要注意别把	orders in battle!		心痒痒到不行了呢！		
	cont	orders in battle!			line	你的寶可夢養過頭了！		line	你的宝可梦养过头了！	Just don't raise	Argh!		……わたし！　もう	
					para	還有……！		para	还有……！	your #MON too	I just can’t take it anymore!	我真的忍不住想快点和	うずうずして　しょうが　ないの	
	para	Just don't raise			line	請你拿好這個招式學習器。		line	请你拿好这个招式学习器。	much!		变强的你再次对战了！		
	line	your #MON too			done			done		Wait, please take	You’ve gotten so strong that I just absolutely		つよくなった　きみと　もういちど	
	cont	much!								this TM with you!	have to battle you again!	你应该不会对我说“不”吧！	たたかって　みたくて　たまらない！	
														
	para	Wait, please take									You got that? No refusing!		いやとは　いわない　わよね！	
