text/CeruleanCity.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_CeruleanCityText_19668::				_CeruleanCityText_19668::										
	text	<RIVAL>: Yo!			text	<RIVAL>：嘿！		text	<RIVAL>：哟！	<RIVAL>: Yo!	Hiya!	嗨！	おっす！	おっす!
	line	<PLAYER>!			line	<PLAYER>！		line	<PLAYER>！	<PLAYER>!	You’re here to challenge the Gym, aren’t you?	你是道馆挑战者吧！	ジムの　ちょうせんしゃ　だな！	ポケモン　チャンピオンを
					para	你在這裡轉來轉去的，		para	你怎么也来这里了？	You're still				めざして　みないか?
	para	You're still			line	是要幹什麼呀？		line	而且还鬼鬼祟祟的！	struggling along	I’m not a Trainer, but I can tell if you’re worthy	我不是训练家，	おれは　トレーナー　じゃない	おれは　トレーナー　じゃない
	line	struggling along			para	我可是捉到了很多		para	我可是捉到了很多	back here?	of challenging the Gym Leader.	但是我可以判断你	しかし　おまえが　ジムリーダーに	しかし　かつ　ために　ばっちり
	cont	back here?			line	又帥又厲害的寶可夢呢！		line	又帅又厉害的宝可梦呢！	I'm doing great!				アドバイス　できるぜ!
					cont	我現在感覺狀態特別好！		cont	我现在感觉状态特别好！	I caught a bunch	Now, let’s get started...	是否有足够的水准	ちょうせん　するに　ふさわしい	な…!　いっしょに
	para	I'm doing great!			para	就讓我來看看		para	就让我来看看	of strong and				ポケモン　チャンピオン　めざそうぜ
	line	I caught a bunch			line	<PLAYER>		line	<PLAYER>	smart #MON!		去挑战道馆馆主！	ヤツか　どうかは　わかるぜ！	
	cont	of strong and			cont	你都捉到了哪些寶可夢吧！		cont	你都捉到了哪些宝可梦吧！	Here, let me see				
	cont	smart #MON!			done			done		what you caught,		那赶快……	さっそく　だが……	
										<PLAYER>!				
	para	Here, let me see												
	line	what you caught,												
	cont	<PLAYER>!												
	done													
														
_CeruleanCityText_1966d::				_CeruleanCityText_1966d::										
	text	Hey!			text_start			text_start		Hey!	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
