text/FuchsiaCity.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_FuchsiaCityText1::				_FuchsiaCityText1::										
	text	Did you try the			text	你去過狩獵地帶了嗎？		text	你去过狩猎地带了吗？	Did you try the	Let’s see...	…………我看看！	…………えーと！	…　…　えーと!
	line	SAFARI GAME? Some			line	那裡有很多珍貴的寶可夢。		line	那里有很多珍贵的宝可梦。	SAFARI GAME? Some	Uh-oh! You’ve only caught [VAR NUM3(0004)] different species	你捕捉到的宝可梦……	つかまえた　ポケモンは……	つかまえた　ポケモンは…
	cont	#MON can only			cont	在其他地方都找不到哦！		cont	在其他地方都找不到哦！	#MON can only				あれれー?
	cont	be caught there.			done			done		be caught there.	of Pokémon!	啊呀呀？	あれれー？	まだ　@ゴを
	done													
											You’ve got to reach 30 species if you want	还只有[VAR NUM3(0004)]种啊！	まだ　[VAR NUM3(0004)]しゅるい　ですよ！	
_FuchsiaCityText2::				_FuchsiaCityText2::							the Judge function.			
	text	SAFARI ZONE has a			text	狩獵地帶的入口附近是		text	狩猎地带的入口附近是	SAFARI ZONE has a	The Safari Zone has the Playful Park out in front!	狩猎地带的入口附近是	サファリゾーンの　いりぐち　ふきんは	サファり　ゾーンは
	line	zoo in front of			line	動物園。		line	动物园。	zoo in front of		训练家和宝可梦的互动区！	ポケモンとの　ふれあいエリア！	いりぐち　ふきんは　どうぶつえんで
	cont	the entrance.			para	再往裡面就有可以捕捉		para	再往里面就有可以捕捉	the entrance.	Out back is the GO Park complex!			おくに　いくと　ポケモンが
					line	寶可夢的狩獵遊戲了。		line	宝可梦的狩猎游戏了。	Out back is the		再往里面就是GO Park了！	おく　には　ＧＯパークが　ある！	とりほうだいの　サファり　ゲームじゃ
	para	Out back is the			done			done		SAFARI GAME for				
	line	SAFARI GAME for								catching #MON.				
	cont	catching #MON.												
	done													
														
_FuchsiaCityText3::				_FuchsiaCityText3::										
	text	ERIK: Where's			text	弘二：奇了怪了！		text	弘二：奇了怪了！	ERIK: Where's	ERIK: Where’s Sara?	弘二：奇了怪了！我明明跟敦子说好	コージ『おかしいな？　アツコと	コージ『おかしいな?　アツコと
	line	SARA? I said I'd			line	我明明跟敦子說好在這集合		line	我明明跟敦子说好在这集合	SARA? I said I'd	I said I’d meet her here to catch Pokémon...	在这集合去捉宝可梦的……	ポケモンとりで　まちあわせって…	ポケモンとりで　まちあわせって…
	cont	meet her here.			cont	捉寶可夢的……		cont	捉宝可梦的……	meet her here.				とりポケモンが　みつからない!
	done				para	完全看不到敦子的影子啊！		para	完全看不到敦子的影子啊！		But all I’m catching are some weird looks!	完全看不到敦子的影子啊！	とりポケモンが　みつからない！	
					done			done						
_FuchsiaCityText4::				_FuchsiaCityText4::										
	text	That item ball in			text	你想要那邊那個球是嗎？		text	你想要那边那个球是吗？	That item ball in	That Poké Ball over there...	你想要那边那个球是吗？	あの　アイテムボール	あの　アイテム　ボール
	line	there is really a			line	……我也想要啊！		line	……我也想要啊！	there is really a	Were you wanting that?	…………我也想要啊！	ほしいって　おもった？	ほしいって　おもった?
	cont	#MON.			cont	什麼？那居然不是個球？		cont	什么？那居然不是个球？	#MON.				…　…　…　ぼくもさ!
	done				done			done			Well, so was I!	什么？那居然不是个球？	……　……ぼくもさ！	…　え　あれ　いきものなの?
														
_FuchsiaCityText5::				_FuchsiaCityText5::							...Huh? That’s actually a Pokémon?		……え　あれ　いきものなの？	
	text	!			text	寶可夢第一世代		text_ram	wStringBuffer	wStringBuffer	Trainers’ School:	这里是训练家学校。	ここは　トレーナーズスクール	ここは　ポケモン　りーグ
	done				line	紅藍綠/黃 漢化人員名單		text_start			Get Schooled in School!	好好学习，天天向上！	まなびや　で　まなべや！	しょうめん　ゲート
					para	程式：		line	已滑落至取物口！	popped out!				4ャよひ
					line	星夜之幻、TomJinW								
					para	翻譯：吃饃法師、								
					line	無敵阿爾宙斯、夜靈的天空								
					para	漢化工具：robertking								
					line	TomJinW								
					para	美工：								
					line	臥看微塵、小光								
					para	測試：無敵阿爾宙斯、小光								
					line	NELO, SYLVEON								
					cont	colorcat								
					para	請勿將漢化用於商業用途								
					line	若付費購買請聯絡退款！								
					done									
														
_FuchsiaCityText11::				_FuchsiaCityText11::				done						つ {PLAYER}  {PLAYER} 
	text	FUCHSIA CITY			text	這裡是淺紅市。		text	这里是浅红市。	FUCHSIA CITY	Fuchsia City:	这里是浅红市。	ここは　セキチクシティ	ここは　セキチク　シティ
	line	Behold! It's			line	淺紅即是華麗絢爛的		line	浅红即是华丽绚烂的	Behold! It's	Behold! It’s Passion Pink!	浅红即是华丽绚烂的红粉之色。	セキチクは　ピンク　はなやかな　いろ	セキチクは　ピンク　はなやかな　いろ
	cont	Passion Pink!			cont	紅粉之色。		cont	红粉之色。	Passion Pink!				
	done				done			done						
														
_FuchsiaCityText13::				_FuchsiaCityText13::										
	text	SAFARI GAME			text	狩獵遊戲		text	狩猎游戏	SAFARI GAME	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	#MON-U-CATCH!			line	捕捉你的寶可夢！		line	捕捉你的宝可梦！	#MON-U-CATCH!	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done			done						
														
_FuchsiaCityText16::				_FuchsiaCityText16::										
	text	SAFARI ZONE			text	狩獵地帶		text	狩猎地带	SAFARI ZONE	Home of the Safari Zone Warden	狩猎地带	サファリゾーン	サファり　ゾーン
	line	WARDEN's HOME			line	園長的家		line	园长的家	WARDEN's HOME		园长的家	えんちょうの　いえ	えんちょうの　いえ
	done				done			done						
														
_FuchsiaCityText17::				_FuchsiaCityText17::										
	text	#MON PARADISE			text	各種寶可夢應有盡有！		text	各种宝可梦应有尽有！	#MON PARADISE	Safari Zone	狩猎地带	サファリゾーン	トレーナーぞ
	line	SAFARI ZONE			line	歡迎來到狩獵地帶！		line	欢迎来到狩猎地带！	SAFARI ZONE	Playful Park Office	……互动区事务局	……ふれあいエリア　じむきょく	きド5ま
	done				done			done						
														
_FuchsiaCityText18::				_FuchsiaCityText18::										
	text	FUCHSIA CITY			text	淺紅市寶可夢道館		text	浅红市宝可梦道馆	FUCHSIA CITY	Fuchsia City Pokémon Gym	浅红市宝可梦道馆	セキチクシティ　ポケモンジム	セキチク　シティ　ポケモン　ジム
	line	#MON GYM			line	館主：阿桔		line	馆主：阿桔	#MON GYM	Gym Leader: Koga	馆主：阿桔	リーダー　キョウ	りーダー　キョウ
	cont	LEADER: KOGA			cont	毒行天下！		cont	毒行天下！	LEADER: KOGA				どくの　ことなら　なんでも　ござれ
					done			done		The Poisonous	The Poisonous Ninja Master	毒行天下！	どくの　ことなら　なんでも　ござれ	ゲ
	para	The Poisonous								Ninja Master				
	line	Ninja Master!												
	done													
														
_FuchsiaCityChanseyText::				_FuchsiaCityChanseyText::										
