text/SaffronCity.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_SaffronCityText1::				_SaffronCityText1::										
	text	What do you want?			text	有何貴幹！		text	有何贵干！	What do you want?	What do you want?	有何贵干！	なんだァ！	なんだァ!
	line	Get lost!			line	一邊兒去！一邊兒去！		line	一边儿去！一边儿去！	Get lost!	Get lost, you little squirt!	一边儿去！一边儿去！	てめえ！　あっち　いけ！	ぼうず!　あっち　いけ!
	done				done			done						
														
_SaffronCityText2::				_SaffronCityText2::										
	text	BOSS said he'll			text	老大說，要把這座城市		text	老大说，要把这座城市	BOSS said he'll	Boss said he’ll take this town in the name of	老大说，	ボスは　この　まちを	ボスは　この　まちを
	line	take this town!			line	歸入火箭隊名下！		line	归入火箭队名下！	take this town!	Team Rocket!	要把这座城市归入火箭队名下！	ロケットだんの　ものに　するってよォ	ロケットだんの　ものに　するってよォ
	done				done			done						
														
_SaffronCityText3::				_SaffronCityText3::										
	text	Get out of the			text	喂！敢跟我們作對，		text	喂！跟我们对着干，	Get out of the	...What? You got it out of the way? Thanks!	……什么！你让它走开了吗？	……え！　どかして　くれたの？	え
	line	way!			line	你可是要吃苦頭的！		line	你可是要吃苦头的！	way!		谢谢你！	ありがとう！	
	done				done			done						ばこ
														
_SaffronCityText4::				_SaffronCityText4::										
	text	SAFFRON belongs			text	金黃市已經完全		text	金黄市已经完全	SAFFRON belongs	Saffron City belongs to Team Rocket!	金黄市已经完全	ヤマブキシティ　ごと	ヤマブキ　シティ　ごと
	line	to TEAM ROCKET!			line	被我們火箭隊佔領啦！		line	被我们火箭队占领啦！	to TEAM ROCKET!		被我们火箭队占领啦！	ロケットだんが　のっとったぜ！	ロケットだんが　のっとったぜ!
	done				done			done						
														
_SaffronCityText5::				_SaffronCityText5::										
	text	Being evil makes			text	每當做盡壞事，		text	每当做尽坏事，	Being evil makes	My life as a criminal makes me feel so alive!	每当做尽坏事，	わるい　こと　やりまくると	わるい　こと　やりまくると
	line	me feel so alive!			line	我就覺得心情舒暢啊！		line	我就觉得心情舒畅啊！	me feel so alive!		我就觉得心情舒畅啊！	スカッと　するぜ！	スカッと　するぜ!
	done				done			done						
														
_SaffronCityText6::				_SaffronCityText6::										
	text	Ow! Watch where			text	啊呀！你個混蛋！		text	啊呀！你个混蛋！	Ow! Watch where	Ow! You jerk!	啊呀！你个混蛋！	いてッ！　この　やろ！	いてッ!　この　やろ!
	line	you're walking!			line	走路看著點兒啊！		line	走路看着点儿啊！	you're walking!	Watch where you’re walking!	走路看着点儿啊！	どこ　みて　あるいてんだよ！	どこ　みて　あるいてんだよ!
	done				done			done						
														
_SaffronCityText7::				_SaffronCityText7::										
	text	With SILPH under			text	佔領了西爾佛公司之後，		text	占领了西尔佛公司之后，	With SILPH under	With Silph Co. under our control, we can sell	占领了西尔佛公司之后，	シルフカンパニー　のっとったら	シルフ　カンパニー　のっとったら
	line	control, we can			line	就能把寶可夢		line	就能把宝可梦	control, we can	Pokémon for profit all around the world!	就能把宝可梦卖到世界各地，	せかいじゅうに　ポケモン　うって	せかい　じゅうに　ポケモン　うって
	cont	exploit #MON			cont	賣到世界各地，		cont	卖到世界各地，	exploit #MON				ガバガバ　おお　もうけ　だぜ!
	cont	around the world!			cont	發一筆大財了耶！		cont	发一笔大财了耶！	around the world!	We’ll get stinking rich. Yee-haw!	发一笔大财了耶！	ガバガバ　おおもうけよ！	
	done				done			done						
														
_SaffronCityText8::				_SaffronCityText8::										
