text/Daycare.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_DayCareIntroText::				_DayCareIntroText::										
	text	I run a DAYCARE.			text	這裡是培育屋。		text	这里是培育屋。	I run a DAYCARE.	So the Gym Leader of Viridian City was	原来常青道馆的馆主	トキワジムの　ジムリーダー	0すすぬ5ー♂　ロケットだん
	line	Would you like me			line	你有什麼想要培育的		line	你有什么想要培育的	Would you like me	the Team Rocket leader, huh...	是火箭队的人呢……	ロケットだん　だったのね……	
	cont	to raise one of			cont	寶可夢嗎？		cont	宝可梦吗？	to raise one of				
	cont	your #MON?			done			done		your #MON?	But you defeated even a scary person like that!	[VAR TRNAME(0000)]！	そんな　こわいひと　にも	
	done										You can count me as one of your fans now!	连这么可怕的人物你都能击败，	かてちゃう　[VAR TRNAME(0000)]さん！	
														
_DayCareWhichMonText::				_DayCareWhichMonText::								我……决定做你的粉丝了！	わたし……　ファンに　なっちゃった！	
	text	Which #MON			text	那麼，你有什麼		text	那么，你有什么	Which #MON	Now then...	好了……	では……	
	line	should I raise?			line	想要培育的寶可夢嗎？		line	想要培育的宝可梦吗？	should I raise?				のこり　じかんが　なくなるか!
	prompt				prompt			prompt			Which of the eight Badges should I describe?	８个联盟徽章里，	リーグバッジ　８つの　うち	サファりボールが　なくなったら
												我该讲哪个好呢？	どれに　ついて　はなしましょう？	メガホンで　しらせます!
_DayCareWillLookAfterMonText::				_DayCareWillLookAfterMonText::										では…!　ぐっど　らっく!
	text	Fine, I'll look			text	那麼，我會照顧好		text	那么，我会照顾好	Fine, I'll look	“1F: Service Counter	１楼……　服务柜台	１かい……　サービス・カウンター	おくじょう　…　いこいの　ひろば
	line	after @			line	@		line	@	after @		２楼……　训练家广场	２かい……　トレーナーズ・マーケット	　　　　　　…　じどう　はんばいき
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	“2F: Trainers’ Market			プ
	text_start				text	的。		text	的。			３楼……　电子游戏专卖店	３かい……　テレビ　ゲーム　ショップ	
	cont	for a while.			prompt			prompt		for a while.	“3F: Video Game Shop	４楼……　聪明人礼品店	４かい……　ワイズマン・ギフト	
	prompt													
											“4F: Wiseman Gifts	５楼……　饰品天地	５かい……　アクセサリー　マーケット	
_DayCareComeSeeMeInAWhileText::				_DayCareComeSeeMeInAWhileText::								顶楼……　自动贩卖机	おくじょう……　じどう　はんばいき	
	text	Come see me in			text	你什麼時候有時間了		text	你什么时候有时间了	Come see me in	Hello, [VAR TRNAME(0000)]!	那啥～说你呢～[VAR TRNAME(0000)]啊！	やー　やー　[VAR TRNAME(0000)]！	やー　やー　 {PLAYER} くん!
	line	a while.			line	再過來吧。		line	再过来吧。	a while.				また　わしの　ポケモン　じまんを
