text/RockTunnel1F.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_RockTunnel1BattleText1::				_RockTunnel1BattleText1::										
	text	This tunnel goes			text	你想穿過這條		text	你想穿过这条	This tunnel goes	This tunnel goes a long way, kid!	你想穿过这条	この　ながーい	この　ながーい
	line	a long way, kid!			line	長長的隧道嗎？		line	长长的隧道吗？	a long way, kid!		长长的隧道吗？	トンネルを　ぬける　つもりか！	トンネルを　ぬける　つもりか!
	done				done			done						
														
_RockTunnel1EndBattleText1::				_RockTunnel1EndBattleText1::										
	text	Doh!			text	我輸了。		text	我输了。	Doh!	Doh!	我输了。	おいらの　まけだ	おいらの　まけだ
	line	You win!			prompt			prompt		You win!	You win!			
	prompt													
														
_RockTunnel1AfterBattleText1::				_RockTunnel1AfterBattleText1::										
	text	Watch for ONIX!			text	偶爾出現的大岩蛇		text	偶尔出现的大岩蛇	Watch for ONIX!	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	It can put the			line	等級很高，還會把你捆住。		line	等级很高，还会把你捆住。	It can put the	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	cont	squeeze on you!			cont	要小心點哦。		cont	要小心点哦。	squeeze on you!				…　シルフ　カンパニー
	done				done			done				……西尔佛公司	……シルフカンパニー	
														
_RockTunnel1BattleText2::				_RockTunnel1BattleText2::										
	text	Hmm. Maybe I'm			text	那個，		text	那个，	Hmm. Maybe I'm	Hmm...	那个，我迷路了么？	えーと	えーと
	line	lost in here...			line	我迷路了麼？		line	我迷路了么？	lost in here...	Maybe I’m lost in here.		みちに　まよったかな？	みちに　まよったかな?
	done				done			done						
														
_RockTunnel1EndBattleText2::				_RockTunnel1EndBattleText2::										
	text	Ease up!			text	剛才就不應該		text	刚才就不应该	Ease up!	Ease up!	刚才就不应该和你战斗的。	たたかってる	たたかってる
	line	What am I doing?			line	和你戰鬥的。出口在哪呢？		line	和你战斗的。出口在哪呢？	What am I doing?	What am I doing?	出口在哪呢？	ばあいじゃ　なかった	ばあいじゃ　なかった
	cont	Which way is out?			prompt			prompt		Which way is out?				でぐちは　どっち　だっけ?
	prompt										Which way is out?		でぐちは　どっち　だっけ？	
														
_RockTunnel1AfterBattleText2::				_RockTunnel1AfterBattleText2::										
	text	That sleeping			text	有隻寶可夢睡在		text	有只宝可梦睡在	That sleeping	That sleeping Pokémon on Route 12 forced me	有只宝可梦睡在	１２ばんどうろに	12ばん　どうろに
	line	#MON on ROUTE			line	１２號道路上吧？		line	１２号道路上吧？	#MON on ROUTE	to take this detour.	12号道路上吧？	ポケモンが　ねてたろ？	ポケモンが　ねてたろ?
	cont	12 forced me to			cont	我也拿它沒辦法，		cont	我也拿它没办法，	12 forced me to				おれも　こまって　まわりみちだ
	cont	take this detour.			cont	只好繞道了。		cont	只好绕道了。	take this detour.		我也拿它没办法，	おれも　こまって　まわりみちだ	
	done				done			done				只好绕道了。		
														
_RockTunnel1BattleText3::				_RockTunnel1BattleText3::										
