text/Route19.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
_Route19BattleText1::				_Route19BattleText1::										
	text	Have to warm up			text	下水前得做熱身運動！		text	下水前得做热身运动！	Have to warm up	I have to exercise and warm up before going out	下水前得做热身运动！	みずに　はいる　まえに	みずに　はいる　まえに
	line	before my swim!			done			done		before my swim!	for a swim.		じゅんび　たいそう　しなきゃ！	じゅんび　たいそう　しなきゃ!
	done													
														
_Route19EndBattleText1::				_Route19EndBattleText1::										
	text	All			text	運動結束！		text	运动结束！	All	All warmed up!	运动结束！	たいそう　おわり！	たいそう　おわり!
	line	warmed up!			prompt			prompt		warmed up!				
	prompt													
														
_Route19AfterBattleText1::				_Route19AfterBattleText1::										
	text	Thanks, kid! I'm			text	好！在你的幫助下，		text	好！在你的帮助下，	Thanks, kid! I'm	Thanks, kid!	好！在你的帮助下，	よしッ！　おかげで	よしッ!　おかげで
	line	ready for a swim!			line	我的熱身運動		line	我的热身运动	ready for a swim!	I’m ready for a swim.	我的热身运动很好地完成了！	いい　うんどうに　なった！	いい　うんどうに　なった!
	done				cont	很好地完成了！		cont	很好地完成了！					
					done			done						
_Route19BattleText2::				_Route19BattleText2::										
	text	Wait! You'll have			text	等等，別慌！要是		text	等等，别慌！要是	Wait! You'll have	Wait! Slow down!	等等，别慌！	まて　あわてるな！	まて　あわてるな!
	line	a heart attack!			line	心臟麻痺了該怎麼辦啊！		line	心脏麻痹了该怎么办啊！	a heart attack!	You’ll have a heart attack!	要是心脏麻痹了该怎么办啊！	しんぞう　マヒに　なったら　どうする	しんぞう　マヒに　なったら　どうする
	done				done			done						
														
_Route19EndBattleText2::				_Route19EndBattleText2::										
	text	Ooh!			text	唔，好冷。		text	唔，好冷。	Ooh!	Ooh!	唔，好冷。	うー　さむい	うー　さむい
	line	That's chilly!			prompt			prompt		That's chilly!	That’s chilly!			
	prompt													
														
_Route19AfterBattleText2::				_Route19AfterBattleText2::										
	text	Watch out for			text	游泳時要小心，		text	游泳时要小心，	Watch out for	Beware! Zubat is a bloodsucker!	小心！	ズバットの	ズバットの
	line	TENTACOOL!			line	別被瑪瑙水母蟄了。		line	别被玛瑙水母蛰了。	TENTACOOL!	Watch out for its Leech Life move!	超音蝠会吸血！	きゅうけつ　こうげきに　ちゅうい！	きゅうけつ　こうげきに　ちゅうい!
	done				done			done						
														
_Route19BattleText3::				_Route19BattleText3::										
	text	I love swimming!			text	我最喜歡游泳了！		text	我最喜欢游泳了！	I love swimming!	I would love it if you could keep an eye on	如果你愿意，	よければ	そうか…!　また　きて　ください
	line	What about you?			line	……你呢？		line	……你呢？	What about you?	Slowpoke again sometime.	我以后还会拜托你的。	また　よろしくね	
	done				done			done						
														
_Route19EndBattleText3::				_Route19EndBattleText3::										
	text	Belly			text	撲通！		text	扑通！	Belly	Electrode! Use Tackle! Now!	顽皮雷弹！那里要用撞击！	マルマイン！　そこで　たいあたりっ！	マルマイン!　そこで　たいあたりっ!
